,type,title,director,cast,date_added,release_year,duration,listed_in,listed_in_count
2128,Movie,Beyond the Boundary: ICC Women's T20 World Cup Australia 2020,Anna Stone,,2020-08-14,2020,59 min,"Documentaries, International Movies, Sports Movies",3
2129,Movie,Fearless,Cory Edwards,"Yara Shahidi, Miles Robbins, Miguel J. Pimentel, Gabrielle Union, Jadakiss, Tom Kenny, Angie Martinez, Harland Williams, Fat Joe, Amari McCoy, Dwyane Wade",2020-08-14,2020,92 min,"Children & Family Movies, Comedies",2
2130,Movie,Nigerian Prince,Faraday Okoro,"Antonio Bell, Chinaza Uche, Tina Mba, Bimbo Manuel, Toyin Oshinaike, Craig Stott, Ebbe Bassey, Cristabel Goddy, Omar Maskati, Russell G. Jones, Dean Cameron",2020-08-14,2018,104 min,"Dramas, Independent Movies",2
2131,Movie,Octonauts & the Caves of Sac Actun,Blair Simmons,"Teresa Gallagher, Simon Greenall, Keith Wickham, Rob Rackstraw, Michael Murphy, Jo Wyatt, Helen Walsh, Andres Williams, Paul Panting",2020-08-14,2020,72 min,Children & Family Movies,1
2132,Movie,Project Power,"Henry Joost, Ariel Schulman","Jamie Foxx, Joseph Gordon-Levitt, Dominique Fishback, Rodrigo Santoro, Courtney B. Vance, Amy Landecker, Machine Gun Kelly, Tait Fletcher, Allen Maldonado, Andrene Ward-Hammond",2020-08-14,2020,113 min,Action & Adventure,1
2133,TV Show,Teenage Bounty Hunters,,"Anjelica Bette Fellini, Maddie Phillips, Kadeem Hardison, Virginia Williams, Mackenzie Astin, Shirley Rumierk, Myles Evans, Devon Hales, Spencer House, Eric Graise, Charity Cervantes, Wynn Everett, Method Man",2020-08-14,2020,1 Season,"Crime TV Shows, TV Comedies, TV Dramas",3
2134,TV Show,The Great Heist,,"Andrés Parra, Christian Tappan, Marcela Benjumea, Juan Sebastián Calero, Waldo Urrego, Rodrigo Jerez, Katherine Vélez, Paula Castaño, Pedro Suárez, Édgar Vittorino, Ramsés Ramos, Juan Pablo Barragán",2020-08-14,2020,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",3
2135,TV Show,The Legend of Korra,,"Janet Varney, David Faustino, P.J. Byrne, J.K. Simmons, Dee Bradley Baker, Seychelle Gabriel, Logan Wells, Jeff Bennett, Kiernan Shipka",2020-08-14,2014,4 Seasons,"Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy",3
2136,TV Show,Zoids Wild,,"Kensho Ono, Takahiro Sakurai, Mikako Komatsu, Etsuko Kozakura, Subaru Kimura, Kaito Ishikawa, Ami Koshimizu, Yoji Ikuta, Hayato Kimura, Kotaro Nishiyama, Takuya Kirimoto, Tomokazu Seki, Suzuko Mimori",2020-08-14,2018,1 Season,"Anime Series, Kids' TV",2
2137,Movie,An Easy Girl,Rebecca Zlotowski,"Mina Farid, Zahia Dehar, Benoît Magimel, Nuno Lopes, Clotilde Courau, Loubna Abidar, ""Riley"" Lakdhar Dridi, Henri-Noël Tabary",2020-08-13,2019,93 min,"Comedies, Dramas, International Movies",3
2138,Movie,Christine,Antonio Campos,"Rebecca Hall, Michael C. Hall, Tracy Letts, Maria Dizzia, J. Smith-Cameron, Timothy Simons, Kim Shaw, John Cullum, Morgan Spector, Jayson Warner Smith",2020-08-13,2016,119 min,"Dramas, Independent Movies",2
2139,Movie,Simon Killer,Antonio Campos,"Brady Corbet, Mati Diop, Constance Rousseau, Lila Salet, Solo, Michaël Abiteboul, Nicolas Ronchi, Étienne Rotha Moeng",2020-08-13,2012,105 min,"Dramas, Independent Movies, Thrillers",3
2140,TV Show,(Un)Well,,,2020-08-12,2020,1 Season,Reality TV,1
2141,Movie,Gunjan Saxena: The Kargil Girl,Sharan Sharma,"Janhvi Kapoor, Pankaj Tripathi, Angad Bedi, Viineet Kumar, Manav Vij, Ayesha Raza Mishra",2020-08-12,2020,113 min,"Action & Adventure, Dramas, International Movies",3
2142,Movie,Mr. Peabody & Sherman,Rob Minkoff,"Ty Burrell, Max Charles, Ariel Winter, Stephen Colbert, Leslie Mann, Stanley Tucci, Allison Janney, Mel Brooks, Patrick Warburton, Stephen Tobolowsky, Lake Bell",2020-08-11,2014,93 min,"Children & Family Movies, Comedies, Sci-Fi & Fantasy",3
2143,Movie,"Rob Schneider: Asian Momma, Mexican Kids",Tyler Spindel,Rob Schneider,2020-08-11,2020,44 min,Stand-Up Comedy,1
2144,TV Show,GAME ON: A Comedy Crossover Event,,"Loretta Devine, Tia Mowry-Hardrict, Anthony Alabi, Paul Wight, Allison Munn, Gabriel Iglesias, Sherri Shepherd, Paulina Chávez, Jencarlos Canela",2020-08-10,2020,1 Season,"Kids' TV, TV Comedies",2
2145,TV Show,Terrace House: Tokyo 2019-2020,,"You, Reina Triendl, Yoshimi Tokui, Azusa Babazono, Ryota Yamasato, Shono Hayama",2020-08-10,2019,2 Seasons,"International TV Shows, Reality TV",2
2146,Movie,The Lost Husband,Vicky Wight,"Leslie Bibb, Josh Duhamel, Nora Dunn, Sharon Lawrence, Callie Hope Haverda, Roxton Garcia",2020-08-10,2020,110 min,"Dramas, Romantic Movies",2
2147,Movie,Diamonds in the Sky,Kunle Afolayan,"Joke Silva, Omowunmi Dada, Bimbo Akintola, Femi Adebayo, Kayode Olaiya, Ali Nuhu, Yvonne Jegede, Toyin Abraham, Adebayo Salami, Ayo Mogaji, Magaji Mijinyawa",2020-08-08,2018,113 min,"Dramas, International Movies",2
2148,TV Show,The Governor,,"Caroline Chikezie, Bimbo Manuel, Lord Frank, Edmond Enaibe, Taiwo Obileye, Jude Chukwuka, Kunle Coker, Paul Christian Chukwudi, Samuel Abiola Robinson, Simi Adejumo, Ani Iyoho",2020-08-08,2016,1 Season,"International TV Shows, TV Dramas",2
2149,Movie,We Summon the Darkness,Marc Meyers,"Alexandra Daddario, Amy Forsyth, Keean Johnson, Maddie Hasson, Logan Miller, Austin Swift, Johnny Knoxville, Allison McAtee, Tanner Beard",2020-08-08,2020,90 min,"Horror Movies, Thrillers",2
2150,Movie,"Berlin, Berlin: Lolle on the Run",Franziska Meyer Price,"Felicitas Woll, Janina Uhse, Jan Sosniok, Matthias Klimsa, Sandra Borgmann, Kai Lentrodt, Armin Rohde, Gitta Schweighöfer, Kailas Mahadevan",2020-08-07,2020,82 min,"Comedies, International Movies",2
2151,TV Show,High Seas,,"Ivana Baquero, Jon Kortajarena, Alejandra Onieva, Eloy Azorín, Chiqui Fernández, Tamar Novas, Daniel Lundh, Manuela Vellés, Natalia Rodríguez, Laura Prats, Ignacio Montes, Begoña Vargas, Luis Bermejo, Pepe Ocio, Ben Temple, Félix Gómez, Antonio Durán 'Morris', Eduardo Blanco, José Sacristán",2020-08-07,2020,3 Seasons,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",3
2152,TV Show,Selling Sunset,,,2020-08-07,2020,3 Seasons,Reality TV,1
2153,TV Show,Sing On! Germany,,Palina Rojinski,2020-08-07,2020,1 Season,"International TV Shows, Reality TV",2
2154,Movie,Stars in the Sky: A Hunting Story,Steven Rinella,Steven Rinella,2020-08-07,2018,69 min,Documentaries,1
2155,Movie,The Magic School Bus Rides Again Kids In Space,Richard Weston,"Kate McKinnon, Matthew Mucci, Mikaela Blake, Gabby Clarke, Roman Lutterotti, Leke Maceda-Rustecki, Birva Pandya, Lynsey Pham, Kaden Stephen",2020-08-07,2020,46 min,Children & Family Movies,1
2156,TV Show,Tiny Creatures,,Mike Colter,2020-08-07,2020,1 Season,"Docuseries, Science & Nature TV, TV Action & Adventure",3
2157,TV Show,Wizards: Tales of Arcadia,,"Colin O'Donoghue, David Bradley, Lena Headey, Emile Hirsch, Lexi Medrano, Steven Yeun, Alfred Molina, James Faulkner, Stephanie Beatriz, John Rhys-Davies",2020-08-07,2020,1 Season,"Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy",3
2158,TV Show,Word Party Songs,,,2020-08-07,2020,1 Season,Kids' TV,1
2159,Movie,Work It,Laura Terruso,"Sabrina Carpenter, Jordan Fisher, Liza Koshy, Keiynan Lonsdale, Michelle Buteau, Drew Ray Tanner",2020-08-07,2020,94 min,Comedies,1
2160,TV Show,Ever After High,,"Jonquil Goode, Karen Strassman, Audu Paden, Julie Maddalena, Marieve Herington, Rena Strober, Evan Smith, Wendee Lee, Haviland Stillwell, Valerie Arem, Cam Clarke, Colleen Foy, Cindy Robinson, Joe Sanfelippo, Jamieson Price, Debi Derryberry, Lindsey Ames, Rajo Zakic, Erin Fitzgerald, Malcolm Danare",2020-08-06,2016,5 Seasons,Kids' TV,1
2161,Movie,Nasha Natasha,Martín Sastre,Natalia Oreiro,2020-08-06,2020,72 min,"Documentaries, International Movies, Music & Musicals",3
2162,TV Show,The Rain,,"Alba August, Lucas Lynggaard Tønnesen, Mikkel Boe Følsgaard, Lukas Løkken, Jessica Dinnage, Sonny Lindberg, Angela Bundalovic, Lars Simonsen",2020-08-06,2020,3 Seasons,"International TV Shows, TV Dramas, TV Mysteries",3
2163,Movie,Anelka: Misunderstood,Franck Nataf,Nicolas Anelka,2020-08-05,2020,95 min,"Documentaries, International Movies, Sports Movies",3
2164,Movie,Sin City,Pascal Amanfo,"Yvonne Nelson, Kunle Remi, Adjetey Anang, Oscar Provencal, Michelle McKinney Hammond, Rosaline Meurer, Kweku Elliot, Regina Van Helvert, Alhaji Fadika, Isaac Akwesi Awonor",2020-08-05,2019,101 min,"International Movies, Thrillers",2
2165,TV Show,World's Most Wanted,,,2020-08-05,2020,1 Season,"Crime TV Shows, Docuseries, International TV Shows",3
2166,Movie,A Go! Go! Cory Carson Summer Camp,"Stanley Moore, Alex Woo","Alan C. Lim, Smith Foreman, Abigail Vibat, Pfifer Chastain, Jim Capobianco, Neena-Sinaii Simpo, Eli Morse, Adelaide Hirasaki, Paul Killam, Kerry Gudjohnsen, Maisie Benson",2020-08-04,2020,21 min,Children & Family Movies,1
2167,Movie,Malibu Rescue: The Next Wave,Savage Steve Holland,"Ricardo Hurtado, Breanna Yde, Jackie R. Jacobson, Abby Donnelly, Alkoya Brunson, Jeff Meacham, Ella Gross, Carlos Sanson, JT Neal, Camaron Engels, Kirrilee Berger",2020-08-04,2020,71 min,"Children & Family Movies, Comedies",2
2168,TV Show,Mystery Lab,,"Felipe Castanhari, Lilian Regina, Bruno Miranda, Guilherme Briggs",2020-08-04,2020,1 Season,"Docuseries, International TV Shows, Science & Nature TV",3
2169,Movie,Sam Jay: 3 In The Morning,Kristian Mercado,Sam Jay,2020-08-04,2020,64 min,Stand-Up Comedy,1
2170,TV Show,Immigration Nation,,,2020-08-03,2020,1 Season,Docuseries,1
2171,Movie,Almost Love,Mike Doyle,"Scott Evans, Augustus Prew, Kate Walsh, Michelle Buteau, Zoë Chao, Patricia Clarkson, Colin Donnell, Christopher Gray",2020-08-02,2020,92 min,"Comedies, Dramas, Independent Movies",3
2172,Movie,Killing Hasselhoff,Darren Grant,"Ken Jeong, David Hasselhoff, Jim Jefferies, Jon Lovitz, Rhys Darby, Dan Bakkedahl, Jennifer Ikeda, Will Sasso, Colton Dunn",2020-08-01,2017,80 min,Comedies,1
2173,TV Show,Moesha,,"Brandy Norwood, William Allen Young, Sheryl Lee Ralph, Countess Vaughn, Lamont Bentley, Shar Jackson, Marcus T. Paulk, Yvette Wilson",2020-08-01,2000,6 Seasons,"TV Comedies, Teen TV Shows",2
2174,TV Show,My Perfect Landing,,"Morgan Wigle, Tom Hulshof, Helena Marie, Shawn Thompson, Natasha Zaborski, Ajanae Stephenson, Francesca Van Keekan, Jordan Clark",2020-08-01,2020,1 Season,Kids' TV,1
2175,TV Show,Nagi-Asu: A Lull in the Sea,,"Natsuki Hanae, Kana Hanazawa, Ai Kayano, Ryota Osaka, Kaito Ishikawa, Mikako Komatsu, Kaori Ishihara, Kaori Nazuka, Masuo Amada, Junji Majima, Motomu Kiyokawa, Kohsuke Toriumi",2020-08-01,2014,1 Season,"Anime Series, Romantic TV Shows, Teen TV Shows",3
2176,Movie,Rogue Warfare: The Hunt,Mike Gunther,"Will Yun Lee, Jermaine Love, Rory Markham, Bertrand-Xavier Corbi, Katie Keene, Fernando Chien, Gina DeCesare, Michael Blalock, Chris Mulkey, Stephen Lang",2020-08-01,2020,104 min,Action & Adventure,1
2177,Movie,Super Monsters: The New Class,Steve Ball,"Elyse Maloway, Vincent Tong, Erin Mathews, Andrea Libman, Alessandro Juliani, Nicole Anthony, Diana Kaarina, Gigi Saul Guerrero, Asia Mattu, Rukiya Bernard, Elicia MacKenzie, Ian James Corlett, Britt McKillip",2020-08-01,2020,25 min,Children & Family Movies,1
2178,TV Show,The Next Step,,"Shamier Anderson, Victoria Baldesarra, Alexandra Beaton, Jordan Clark, Brennan Clost, Samantha Grecchi, Lamar Johnson, Isaac Lupien, Trevor Tordjman, Brittany Raymond, Bree Wasylenko, Jennifer Pappas, Tamina Pollack-Paris, Logan Fabbro, Megan Mackenzie, Alex Beaton, Natalie Krill",2020-08-01,2018,1 Season,"Kids' TV, Reality TV, TV Dramas",3
2179,Movie,The Ottoman Lieutenant,Joseph Ruben,"Michiel Huisman, Hera Hilmar, Josh Hartnett, Ben Kingsley, Haluk Bilginer, Affif Ben Badra, Paul Barrett, Jessica Turner",2020-08-01,2017,111 min,"Dramas, Romantic Movies",2
2180,TV Show,Toradora!,,"Rie Kugimiya, Junji Majima, Yui Horie, Hirofumi Nojima, Eri Kitamura, Sayaka Ohara, Ai Nonaka, Momoko Ishikawa, Hiroyuki Yoshino, Kazuyuki Okitsu, Rie Tanaka, Yuhko Kaida, Saori Goto",2020-08-01,2008,1 Season,"Anime Series, International TV Shows, Romantic TV Shows",3
2181,TV Show,Transformers Rescue Bots Academy,,"Adam Andrianopolous, Pierce Cravens, Xander Crowell, Paul Guyet, Michael Hansen, Mason Hensley, Courtney Shaw, Alan Trinca, Keyon Williams, Andy Zou",2020-08-01,2020,2 Seasons,Kids' TV,1
2182,Movie,Tumi or not Tumi,Mfanelo Ngoma,Tumi Morake,2020-08-01,2020,72 min,Stand-Up Comedy,1
2183,Movie,What Keeps You Alive,Colin Minihan,"Hannah Emily Anderson, Brittany Allen, Martha MacIsaac, Joey Klein, Charlotte Lindsay Marron",2020-08-01,2018,99 min,"LGBTQ Movies, Thrillers",2
2184,TV Show,Get Even,,"Kim Adis, Mia McKenna-Bruce, Bethany Antonia, Jessica Alexander",2020-07-31,2020,1 Season,"British TV Shows, Crime TV Shows, International TV Shows",3
2185,Movie,Latte and the Magic Waterstone,"Regina Welker, Nina Wels","Ashley Bornancin, Carter Hastings",2020-07-31,2020,83 min,"Children & Family Movies, Comedies",2
2186,Movie,Raat Akeli Hai,Honey Trehan,"Nawazuddin Siddiqui, Radhika Apte, Khalid Tyabji, Aditya Srivastava, Padmavati Rao, Shivani Raghuvanshi, Nishant Dahiya, Shweta Tripathi, Gyanendra Tripathi, Shreedhar Dubey, Swanand Kirkire, Riya Shukla, Tigmanshu Dhulia, Ila Arun, Natasha Rastogi",2020-07-31,2020,150 min,"Dramas, International Movies, Thrillers",3
2187,Movie,Seriously Single,"Katleho Ramaphakela, Rethabile Ramaphakela","Fulu Mugovhani, Tumi Morake, Bohang Moeko, Yonda Thomas",2020-07-31,2020,108 min,"Comedies, International Movies, Romantic Movies",3
2188,Movie,Sugar High,Ariel Boles,Hunter March,2020-07-31,2020,44 min,Children & Family Movies,1
2189,TV Show,Sugar Rush,,"Candace Nelson, Adriano Zumbo, Hunter March",2020-07-31,2020,3 Seasons,Reality TV,1
2190,TV Show,The Umbrella Academy,,,2020-07-31,2020,2 Seasons,"TV Action & Adventure, TV Mysteries, TV Sci-Fi & Fantasy",3
2191,Movie,Retablo,Álvaro Delgado-Aparicio L.,"Junior Béjar Roca, Amiel Cayo, Magaly Solier, Hermelinda Luján, Mauro Chuchón, Claudia Solís, Coco Chiarella",2020-07-30,2017,102 min,"Dramas, International Movies",2
2192,TV Show,Transformers: War For Cybertron Trilogy,,"Jake Foushee, Jason Marnocha, Linsay Rousseau, Joe Zieja, Frank Todaro, Bill Rogers, Keith Silverstein, Edward Bosco",2020-07-30,2020,1 Season,Anime Series,1
2193,Movie,Uma Maheswara Ugra Roopasya,Venkatesh Maha,"Satya Dev, VK Naresh, Raghavan, Suhas P, Ravindra Vijay, Chandana Koppisetti, Roopa Koduvayur, Kushalini Pulapa",2020-07-30,2020,137 min,"Comedies, Dramas, Independent Movies",3
2194,TV Show,Unlucky Ploy,Nopparoj Chotmunkongsit,"Anusorn Maneethet, Atsadaporn Siriwattanakul, Waratthaya Wongchayaporn, Thanawetch Siriwattanakul, Pokchat Thiamchai, Phichikorn Ployphimana, Supachai Suwanon, Daraneenuch Pasutanavin, Kittiphong Dumavibhat, Aphiradi Phawaphutanon, Attharut Krongrasri, Ronnawee Sereerat, Lita Janvarapa, Sitang Punnapob, Yani Tramod",2020-07-30,2020,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",3
2195,Movie,It's Her Day,Aniedi Anwah,"Bovi Ugboma, Amanda Ebeye, Shaffy Bello, Adunni Ade, Ini Dima-Okojie, 'Najite Dede, Gregory Ojefua, Thelma Ezeamaka, Femi Durojaiye, Ese Lami George, Toni Tones",2020-07-29,2016,112 min,"Comedies, International Movies, Romantic Movies",3
2196,Movie,Redemption,Mickey Fonseca,"Gil Alexandre, Arlete Bombe, Rashid Abdul, Laquino Fonseca, Tomas Bie, Candido Quembo, Jorge Amade, Aldovina Chiziane",2020-07-29,2019,102 min,"Dramas, International Movies, Thrillers",3
2197,Movie,Shine Your Eyes,Matias Mariani,"O.C. Ukeje, Indira Nascimento, Paulo André, Ike Barry, Chukwudi Iwuji",2020-07-29,2020,103 min,"Dramas, Independent Movies, International Movies",3
2198,Movie,The Hater,Jan Komasa,"Maciej Musiałowski, Agata Kulesza, Danuta Stenka, Vanessa Aleksander, Maciej Stuhr, Jacek Koman, Adam Gradowski, Piotr Biedron, Martynika Kosnica",2020-07-29,2020,136 min,"Dramas, International Movies, Thrillers",3
2199,Movie,The Speed Cubers,Sue Kim,,2020-07-29,2020,41 min,Documentaries,1
2200,Movie,Tread,Paul Solet,,2020-07-29,2019,88 min,Documentaries,1
2201,TV Show,Last Chance U,,"John Franklin III, DJ Law, Buddy Stephens, Brittany Wagner, Ronald Ollie",2020-07-28,2020,5 Seasons,Docuseries,1
2202,Movie,Banana Split,Ben Kasulke,"Hannah Marks, Liana Liberato, Dylan Sprouse, Luke Spencer Roberts, Jessica Hecht, Addison Riecke, Meagan Kimberly Smith, Haley Ramm",2020-07-26,2020,84 min,"Comedies, Dramas, Independent Movies",3
2203,TV Show,Shameless (U.S.),,"William H. Macy, Emmy Rossum, Justin Chatwin, Cameron Monaghan, Jeremy Allen White, Shanola Hampton, Steve Howey, Ethan Cutkosky, Emma Kenney, Laura Wiggins, Joan Cusack",2020-07-26,2019,10 Seasons,"TV Comedies, TV Dramas",2
2204,Movie,Door Ke Darshan,Gagan Puri,"Dolly Ahluwalia, Manu Rishi Chadha, Mahie Gill, Shardul Rana, Archita Sharma, Rajesh Sharma, Supriya Shukla, Mehak Manwani",2020-07-25,2020,114 min,"Comedies, International Movies",2
2205,Movie,Double World,Teddy Chan,"Henry Lau, Peter Ho, Lin Chenhan, Jiang Luxia, Ming Hu, Him Law, Shi Shi, Mark Cheng, Wang Ziyi, Xu Minghu",2020-07-25,2020,110 min,"Action & Adventure, International Movies",2
2206,Movie,Project Marathwada,Bhavin Wadia,"Om Puri, Seema Biswas, Kunal Sheth, Rahul Patel, Katarina Kajkus, Farrah Kader, Govind Namdeo, Dalip Tahil",2020-07-25,2016,103 min,"Dramas, Independent Movies, International Movies",3
2207,Movie,Animal Crackers,"Tony Bancroft, Scott Christian Sava","Emily Blunt, John Krasinski, Ian McKellen, Danny DeVito, Raven-Symoné, Patrick Warburton, Wallace Shawn, Gilbert Gottfried, Tara Strong, Harvey Fierstein, James Arnold Taylor, Kevin Grevioux, Sylvester Stallone, Lydia Rose Taylor",2020-07-24,2020,106 min,"Children & Family Movies, Comedies",2
2208,Movie,Dragons: Rescue Riders: Secrets of the Songwing,"Greg Rankin, TJ Sullivan","Noah Kaye Bentley, Brennley Brown, Zach Callison, Nicolas Cantu, Skai Jackson, Marsai Martin, Andre Robinson, Carlos Alazraqui, Renée Elise Goldsberry",2020-07-24,2020,46 min,"Children & Family Movies, Comedies",2
2209,Movie,Nimbe,Tope Alake,"Odunlade Adekola, Chimezie Imo, Sani Danja, Rachael Okonkwo, Broda Shaggi, Toyin Abraham, Kelechi Udegbe, Doyin Abiola, Molawa Davis",2020-07-24,2019,115 min,"Dramas, International Movies",2
2210,Movie,Offering to the Storm,Fernando González Molina,"Marta Etura, Leonardo Sbaraglia, Carlos Librado ""Nene"", Francesc Orella, Imanol Arias, Álvaro Cervantes, Itziar Aizpuru, Benn Northover, Marta Larralde, Alicia Sánchez, Eduardo Rosa, Angel Alkain, Ana Wagener, Paco Tous, Patricia López Arnaiz, Pedro Casablanc",2020-07-24,2020,140 min,"International Movies, Thrillers",2
2211,Movie,Romance Doll,Yuki Tanada,"Issey Takahashi, Yuu Aoi, Kenta Hamano, Toko Miura, Koji Ohkura, Pierre Taki, Eri Watanabe, Kitaro",2020-07-24,2020,124 min,"Dramas, International Movies, Romantic Movies",3
2212,TV Show,Sing On! Spain,,Ricky Merino,2020-07-24,2020,1 Season,"International TV Shows, Reality TV, Spanish-Language TV Shows",3
2213,Movie,The Kissing Booth 2,Vince Marcello,"Joey King, Joel Courtney, Jacob Elordi, Molly Ringwald, Taylor Zakhar Perez, Maisie Richardson-Sellers, Meganne Young",2020-07-24,2020,133 min,"Comedies, Romantic Movies",2
2214,TV Show,Sinatra: All or Nothing at All,Alex Gibney,,2020-07-23,2015,1 Season,Docuseries,1
2215,Movie,The Larva Island Movie,Ahn Byoung-wook,"Hong Bum-ki, Eddy Lee, Kang Shi-hyun, Ahn Hyo-min, Kim Yeon-woo, Choi Nak-yoon, Tom Wayland, Erica Schroeder",2020-07-23,2020,91 min,"Children & Family Movies, Comedies",2
2216,Movie,The Letter Reader,Sibusiso Khuzwayo,"Bahle Mashinini, Nomalanga Shabane, Andile Gumbi, Nokuthula Mazibuko",2020-07-23,2019,30 min,"Dramas, International Movies",2
2217,TV Show,Fear City: New York vs The Mafia,,,2020-07-22,2020,1 Season,"Crime TV Shows, Docuseries",2
2218,TV Show,Norsemen,,"Kåre Conradi, Silje Torp, Nils Jørgen Kaalstad, Marian Saastad Ottesen, Trond Fausa, Kristine Riis, Jon Øigarden, Henrik Mestad, Øystein Martinsen, Mikkel Bratt Silset, Mads Jørgensen, Nikis Theophilakis",2020-07-22,2020,3 Seasons,"International TV Shows, TV Comedies",2
2219,Movie,The Remix: Hip Hop X Fashion,"Lisa Cortés, Farah X",,2020-07-22,2019,67 min,"Documentaries, Music & Musicals",2
2220,Movie,Ip Man 4: The Finale,Wilson Yip,"Donnie Yen, Wu Yue, Vanness Wu, Scott Adkins, Kent Cheng, Danny Chan Kwok-kwan, Kanin Ngo, Chris Collins, Vanda Margraf, Meng Lo",2020-07-21,2019,105 min,"Action & Adventure, Dramas, International Movies",3
2221,Movie,Jack Whitehall: I'm Only Joking,"Dave Skinner, Freddie Waters",Jack Whitehall,2020-07-21,2020,58 min,Stand-Up Comedy,1
2222,TV Show,Street Food: Latin America,,,2020-07-21,2020,1 Season,"Docuseries, Spanish-Language TV Shows",2
2223,TV Show,Killer Women with Piers Morgan,,Piers Morgan,2020-07-19,2017,1 Season,"British TV Shows, Crime TV Shows, Docuseries",3
2224,Movie,Funan,Denis Do,"Bérénice Bejo, Louis Garrel, Colette Kieffer, Aude-Laurence Clermont Biver, Brice Montagne, Franck Sasonoff, Hervé Sogne, Maxime Baudoin, Tom Trouffier, Lila Lacombe, Céline Ronté, Emilie Marié, Thierry Jahn",2020-07-18,2018,87 min,"Dramas, International Movies",2
2225,TV Show,Gigantosaurus,,,2020-07-18,2019,1 Season,Kids' TV,1
2226,TV Show,Single Wives,,"Fifi Box, Matthew Hussey",2020-07-18,2018,1 Season,"Reality TV, Romantic TV Shows",2
2227,TV Show,Cursed,,"Katherine Langford, Devon Terrell, Gustaf Skarsgård, Daniel Sharman, Sebastian Armesto, Lily Newmark, Shalom Brune-Franklin, Matt Stokoe, Bella Dayne, Peter Mullan, Emily Coates",2020-07-17,2020,1 Season,"TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy",3
2228,Movie,Father Soldier Son,"Leslye Davis, Catrin Einhorn",,2020-07-17,2020,100 min,Documentaries,1
2229,TV Show,In The Dark,,"Perry Mattfeld, Brooke Markham, Casey Deidrick, Keston John, Morgan Krantz, Rich Sommer, Thamela Mpumlwana, Saycon Sengbloh, Kathleen York, Derek Webster",2020-07-17,2020,2 Seasons,"Crime TV Shows, TV Dramas",2
2230,TV Show,Kissing Game,,"Caio Horowicz, Iza Moreira, Michel Joelsas, Denise Fraga, Thomás Aquino, Luana Nastas, Esther Tinman, Kevin Vechiatto, Grace Passô, Bianca Byington, Bruno Garcia, Flávio Tolezani, Carolina del Carmen Peleritti",2020-07-17,2020,1 Season,"International TV Shows, TV Dramas, TV Mysteries",3
2231,Movie,The Millions,"Toka McBaror, Tunde Apalowo","Ramsey Nouah, Blossom Chukwujekwu, Ayo Makun, Nancy Isime, Ali Nuhu, Folusho Durojaiye, Toyin Abraham, Chika Lann, Broda Shaggi, Etinosa Idemudia",2020-07-17,2019,95 min,"Comedies, International Movies",2
2232,Movie,Fatal Affair,Peter Sullivan,"Nia Long, Omar Epps, Stephen Bishop, Maya Stojan, Aubrey Cleland, Carolyn Hennesy",2020-07-16,2020,90 min,Thrillers,1
2233,Movie,MILF,Axelle Laffont,"Virginie Ledoyen, Marie-Josée Croze, Axelle Laffont, Matthias Dandois, Victor Meutelet, Waël Sersoub, Florence Thomassin",2020-07-16,2018,102 min,"Comedies, International Movies, Romantic Movies",3
2234,Movie,Cold Feet,Moses Inwang,"Jim Iyke, Joselyn Dumas, Enyinna Nwigwe, Beverly Naya, Femi Adebayo, Segun Arinze, Padita Agu",2020-07-15,2019,98 min,"Dramas, International Movies, Romantic Movies",3
2235,TV Show,Dark Desire,,"Maite Perroni, Erik Hayser, Alejandro Speitzer, María Fernanda Yepes, Jorge Poza, Regina Pavón, Paulina Matos, Leticia Huijara, Claudia Pineda, Esteban Soberanes, Claudia Ríos, Samantha Orozco, Fabián Merlo, Eligio Meléndez, Carmen Beato, Carlos Torres, Toño Valdés",2020-07-15,2020,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",3
2236,Movie,Little Singham: Legend of Dugabakka,,,2020-07-15,2020,68 min,"Children & Family Movies, Comedies",2
2237,TV Show,Skin Decision: Before and After,,,2020-07-15,2020,1 Season,"Reality TV, Science & Nature TV",2
2238,TV Show,Sunny Bunnies,,"Svetlana Tsimokhina, Dmitri Davidovich",2020-07-15,2016,2 Seasons,"British TV Shows, Kids' TV, TV Comedies",3
2239,Movie,Sylvia,Daniel Oriahi,"Chris Attoh, Zainab Balogun, Ini Dima-Okojie, Udoka Onyeka, Lord Frank, Bolaji Ogunmola, Ijeoma Grace Agu, Omotunde Adebowale David",2020-07-15,2018,104 min,"Dramas, International Movies, Thrillers",3
2240,Movie,The Players,Stefano Mordini,"Valerio Mastandrea, Riccardo Scamarcio, Laura Chiatti, Valentina Cervi, Marina Foïs, Euridice Axen, Massimiliano Gallo, Alessia Giuliani",2020-07-15,2020,89 min,"Comedies, International Movies",2
2241,TV Show,The Business of Drugs,,Amaryllis Fox,2020-07-14,2020,1 Season,Docuseries,1
2242,Movie,Urzila Carlson: Overqualified Loser,Hayden Guppy,Urzila Carlson,2020-07-14,2020,62 min,Stand-Up Comedy,1
