Director,Appearances
Jim Fall,1
Duncan Singh,1
 John Lounsbery,2
James Frawley,1
Nancy Meyers,1
Garry Marshall,2
Bruce Smith,1
Alfred Werker,1
 Art Stevens,1
Hendel Butoy,1
 Mike Gabriel,1
朱家欣 ,1
 钟智行,1
Charles Barton,1
Lewis Foster,1
 Norman Foster,1
Robert Wise,1
Jay Karas,1
Norman Ferguson,1
Jun Falkenstein,1
Jack Cutting,1
Steve Williams,1
Victor Gonzalez,1
Dave Hand,3
Michael Switzer,1
Leonard Nimoy,1
Thomas Grane,1
Mark Walsh,1
Zhong Yu,1
Byron Haskin,1
Steven Lisberger,1
Jay Russell,1
Nick Castle,1
Russ Mayberry,1
Robert Townsend,1
Gary Chapman,1
John Laing,1
Molly Hermann,1
 Don Hall,1
Ed Wexler,1
 Gary Katona,1
 Jamie Mitchell,1
Bert Gillett,1
Charles Draper,1
Jim Capobianco,1
Peter DeLuise,1
Manny Coto,1
Steve Rash,1
Byron Howard,1
 Rich Moore,1
Hollingsworth Morse,1
 Dave Michener,1
Elizabeth Allen Rosenbaum,1
Gavin Hood,1
Dexter Fletcher,1
Gurinder Chadha,1
Mark Waring,1
