Director,Genre(s)
Tharun Bhascker Dhaassyam,"['International TV Shows', 'TV Dramas']"
 B. V. Nandini Reddy,"['International TV Shows', 'TV Dramas']"
 Nag Ashwin,"['International TV Shows', 'TV Dramas']"
 Sankalp Reddy,"['International TV Shows', 'TV Dramas']"
Prateek Vats,"['Comedies', 'Dramas', 'Independent Movies']"
Alex Merkin,['Horror Movies']
Ian Cheney,['Documentaries']
Ben Simms,['Children & Family Movies']
Vikram Bhatt,"['Action & Adventure', 'Comedies', 'Dramas', 'Horror Movies', 'International Movies', 'Thrillers']"
Dallas Jenkins,"['Children & Family Movies', 'Comedies', 'Dramas']"
Damián Romay,['Thrillers']
Hamisha Daryani Ahuja,"['Comedies', 'Dramas', 'International Movies']"
Hong Khaou,"['Dramas', 'Independent Movies', 'LGBTQ Movies']"
Mario Briongos,['Stand-Up Comedy']
Vinay Bharadwaj,"['Dramas', 'International Movies', 'Romantic Movies']"
Michael Fimognari,"['Comedies', 'Romantic Movies']"
Eric D. Cabello Díaz,['Children & Family Movies']
Clara Martínez-Lázaro,"['Comedies', 'Dramas', 'International Movies']"
Monty Tiwa,"['Dramas', 'International Movies', 'Romantic Movies']"
Ava DuVernay,"['Dramas', 'Independent Movies', 'Romantic Movies', 'Documentaries', 'Music & Musicals', 'Children & Family Movies']"
Alain Darborg,"['International Movies', 'Thrillers']"
Filip Zylber,"['Comedies', 'International Movies', 'Romantic Movies']"
Ava DuVernay,"['Dramas', 'Independent Movies', 'Romantic Movies', 'Documentaries', 'Music & Musicals', 'Children & Family Movies']"
Joe Berlinger,"['TV Shows', 'Crime TV Shows', 'Docuseries', 'Dramas', 'Independent Movies', 'Documentaries']"
Julien Royal,"['Comedies', 'International Movies']"
Brian Baugh,"['Dramas', 'Romantic Movies']"
Todd Phillips,"['Action & Adventure', 'Comedies', 'Dramas']"
Henri Wong,"['Action & Adventure', 'International Movies']"
Maïa Sandoz,['Stand-Up Comedy']
Mostofa Sarwar Farooki,"['Dramas', 'Independent Movies', 'International Movies']"
Joseph Hsu,"['Dramas', 'International Movies']"
Sam Levinson,"['Dramas', 'Independent Movies']"
Jo Sung-hee,"['Action & Adventure', 'Dramas', 'International Movies']"
Michèle Ohayon,['Documentaries']
Rocco Ricciardulli,"['Dramas', 'International Movies', 'Romantic Movies']"
Guo Jingming,"['Action & Adventure', 'International Movies']"
Jan Belcl,"['Comedies', 'Dramas', 'International Movies']"
Esteban Crespo,"['Action & Adventure', 'International Movies', 'Dramas', 'Romantic Movies']"
Noé González,"['Dramas', 'Faith & Spirituality', 'International Movies']"
Dennis Dugan,"['Comedies', 'Action & Adventure']"
Sarah Gavron,"['Dramas', 'International Movies']"
Martin Scorsese,"['Thrillers', 'Documentaries', 'Music & Musicals', 'Children & Family Movies', 'Dramas', 'Classic Movies', 'Comedies', 'Independent Movies', 'Sports Movies']"
Roger Donaldson,"['Action & Adventure', 'Dramas', 'International Movies', 'Thrillers']"
Richard Arellano,"['International TV Shows', 'Romantic TV Shows', 'TV Comedies']"
Jon Favreau,"['Children & Family Movies', 'Sci-Fi & Fantasy', 'Comedies', 'Independent Movies']"
Marco Pontecorvo,"['Dramas', 'Faith & Spirituality']"
Gregory Plotkin,['Horror Movies']
Lluís Quílez,"['Action & Adventure', 'International Movies']"
Jude Weng,"['Children & Family Movies', 'Comedies']"
Simon Stone,"['Dramas', 'International Movies']"
Noviandra Santosa,"['Children & Family Movies', 'Dramas', 'International Movies']"
Jeremy Grant,"['Documentaries', 'International Movies', 'Sports Movies']"
Jeo Baby,"['Comedies', 'Dramas', 'Independent Movies']"
Glendyn Ivin,"['Children & Family Movies', 'Dramas']"
Okey Oku,"['Dramas', 'International Movies']"
Ifeanyi Ikpoenyi,"['Comedies', 'International Movies', 'Romantic Movies']"
Chris Eneng Enaji,"['Dramas', 'International Movies', 'Romantic Movies']"
Ángeles Reiné,"['Comedies', 'International Movies', 'LGBTQ Movies']"
Paul Haggis,"['Dramas', 'Thrillers', 'Independent Movies']"
Ramin Bahrani,['Dramas']
Nicol Paone,['Comedies']
Nick Rowland,['Dramas']
RZA,"['Dramas', 'Music & Musicals', 'Romantic Movies']"
Cooper Karl,['Thrillers']
Gary Fleder,"['Action & Adventure', 'Thrillers']"
J.A. Bayona,"['Dramas', 'Sci-Fi & Fantasy']"
Darren Lynn Bousman,"['Horror Movies', 'Independent Movies']"
Lydia Dean Pilcher,"['Dramas', 'Independent Movies']"
 Ginny Mohler,"['Dramas', 'Independent Movies']"
Cris D'Amato,"['Children & Family Movies', 'Comedies', 'Dramas']"
Mikael Håfström,['Action & Adventure']
Eric Darnell,"['Children & Family Movies', 'Comedies']"
 Simon J. Smith,"['Children & Family Movies', 'Comedies']"
Byeon Hee-sun,['Children & Family Movies']
Peter Facinelli,['Thrillers']
Renuka Shahane,"['Dramas', 'International Movies']"
Ross Kauffman,['Documentaries']
Sung Do-jun,"['Dramas', 'International Movies', 'LGBTQ Movies']"
Hanung Bramantyo,"['Dramas', 'International Movies', 'Romantic Movies', 'Faith & Spirituality']"
Charles Gozali,"['Comedies', 'Dramas', 'International Movies']"
 Bagus Bramanti,"['Comedies', 'Dramas', 'International Movies']"
James Toback,"['Dramas', 'Thrillers', 'Documentaries', 'Sports Movies']"
Tiller Russell,"['Crime TV Shows', 'Docuseries', 'Documentaries']"
Francisco D'Eufemia,"['International Movies', 'Thrillers']"
Chris Rock,['Stand-Up Comedy']
Juliet May,"['British TV Shows', 'Romantic TV Shows', 'TV Dramas']"
Stanley Nelson,"['Documentaries', 'Music & Musicals']"
Olivier Nakache,"['Comedies', 'Dramas', 'International Movies']"
 Éric Toledano,"['Comedies', 'Dramas', 'International Movies']"
Prakash Jha,"['Dramas', 'International Movies', 'Music & Musicals', 'Thrillers']"
Rohan Sippy,"['Comedies', 'International Movies', 'Romantic Movies']"
Ross Venokur,"['Children & Family Movies', 'Comedies']"
Prakash Jha,"['Dramas', 'International Movies', 'Music & Musicals', 'Thrillers']"
Rohena Gera,"['Dramas', 'Independent Movies', 'International Movies']"
Maite Ruiz De Austri,"['Anime Series', 'International TV Shows', 'Spanish-Language TV Shows']"
Jastis Arimba,"['Dramas', 'International Movies']"
Eric Summer,"['Children & Family Movies', 'Comedies']"
 Éric Warin,"['Children & Family Movies', 'Comedies']"
Kornél Mundruczó,['Dramas']
Alejandro Ruax,"['Documentaries', 'International Movies', 'Music & Musicals']"
 Ramiro Martínez,"['Documentaries', 'International Movies', 'Music & Musicals']"
Florent Bodin,"['Documentaries', 'International Movies', 'Sports Movies', 'Music & Musicals']"
Sohail Khan,"['Action & Adventure', 'Comedies', 'International Movies']"
Gabriele Muccino,"['Dramas', 'Romantic Movies', 'Comedies', 'Sports Movies']"
Hallvard Bræin,"['Action & Adventure', 'Comedies', 'International Movies']"
Jeff Tremaine,"['Comedies', 'Dramas', 'Music & Musicals']"
Christian Alvart,"['Horror Movies', 'Thrillers']"
Robert Townsend,['Stand-Up Comedy']
Jeff Deverett,"['Children & Family Movies', 'Dramas', 'Sports Movies']"
Ron Krauss,"['Dramas', 'Independent Movies']"
Brian Robbins,"['Children & Family Movies', 'Comedies']"
Jeff Stilson,['Documentaries']
Sean Penn,"['Action & Adventure', 'Dramas', 'Independent Movies']"
Mark McQueen,['Action & Adventure']
Melanie Mayron,['Comedies']
Donald Petrie,"['Comedies', 'Dramas', 'Independent Movies']"
Tony Collingwood,"[""Kids' TV""]"
Jennifer Beamish,['Documentaries']
 Toby Trackman,['Documentaries']
Jaume Collet-Serra,"['Action & Adventure', 'Thrillers']"
Kim Dong-kyu,"['Comedies', 'International Movies']"
Lasse Hallström,"['Dramas', 'Romantic Movies', 'Children & Family Movies', 'Classic Movies', 'Independent Movies', 'Comedies']"
Shaz Bennett,"['Dramas', 'LGBTQ Movies']"
Samar Shaikh,"['Comedies', 'Dramas', 'International Movies']"
Archie Hekagery,"['Action & Adventure', 'Dramas', 'Faith & Spirituality']"
Sabrina Rochelle Kalangie,"['Comedies', 'Dramas', 'International Movies']"
Cosima Spender,"['Crime TV Shows', 'Docuseries', 'International TV Shows', 'Documentaries', 'International Movies', 'Sports Movies']"
Liao Shih-han,"['Horror Movies', 'International Movies']"
Arnon Manor,['Dramas']
 Timothy Ware-Hill,['Dramas']
Gore Verbinski,"['Children & Family Movies', 'Comedies', 'Horror Movies', 'Thrillers']"
Al Campbell,['Comedies']
 Alice Mathias,['Comedies']
Maïwenn,"['Dramas', 'International Movies']"
Richard Weston,['Children & Family Movies']
Vikramaditya Motwane,"['Comedies', 'Dramas', 'International Movies', 'Crime TV Shows', 'International TV Shows', 'TV Dramas', 'Independent Movies', 'Sci-Fi & Fantasy']"
Prime Cruz,"['International Movies', 'Romantic Movies']"
Robert Rodriguez,"['Children & Family Movies', 'Comedies', 'Action & Adventure']"
Andibachtiar Yusuf,"['Comedies', 'Dramas', 'International Movies', 'Romantic Movies']"
Yandy Laurens,"['Children & Family Movies', 'Dramas', 'International Movies']"
Cathy Garcia-Molina,"['Dramas', 'International Movies', 'Romantic Movies', 'Comedies']"
John Mitchell,"['Action & Adventure', 'Comedies', 'Independent Movies']"
 Jeremy Kipp Walker,"['Action & Adventure', 'Comedies', 'Independent Movies']"
George Clooney,['Dramas']
Liu Kuang-hui,"['Dramas', 'International Movies', 'LGBTQ Movies']"
Roger Kumble,"['Comedies', 'Romantic Movies', 'Dramas']"
Kristian Mercado,['Stand-Up Comedy']
Daan Jansen,['Music & Musicals']
 Stijn Verlinde,['Music & Musicals']
Jay Grace,"['Children & Family Movies', 'Comedies']"
Paul Dugdale,"['Documentaries', 'Music & Musicals', 'International Movies']"
James Haslam,['Comedies']
Muhammad Ali,"['Comedies', 'International Movies']"
Thomas Toby Parkinson,['Stand-Up Comedy']
John Putch,['Dramas']
Sam Macaroni,['Comedies']
George C. Wolfe,"['Dramas', 'Music & Musicals', 'Romantic Movies']"
Yasmin Ahmad,"['Children & Family Movies', 'Comedies', 'Dramas', 'Independent Movies', 'International Movies', 'Romantic Movies']"
Sudha Kongara,"['International TV Shows', 'TV Dramas']"
 Vignesh Shivan,"['International TV Shows', 'TV Dramas']"
 Gautham Vasudev Menon,"['TV Shows', 'International TV Shows', 'TV Dramas']"
 Vetri Maaran,"['International TV Shows', 'TV Dramas']"
Yasmin Ahmad,"['Children & Family Movies', 'Comedies', 'Dramas', 'Independent Movies', 'International Movies', 'Romantic Movies']"
Yasmin Ahmad,"['Children & Family Movies', 'Comedies', 'Dramas', 'Independent Movies', 'International Movies', 'Romantic Movies']"
Juan Camilo Pinzon,"['Comedies', 'Dramas', 'International Movies']"
Lin Oeding,['Action & Adventure']
Naya Anindita,"['Dramas', 'International Movies', 'Romantic Movies']"
Antoinette Jadaone,"['Dramas', 'Independent Movies', 'International Movies', 'Comedies', 'Romantic Movies']"
JP Habac,"['Dramas', 'International Movies', 'Romantic Movies']"
Alexx Media,"['Stand-Up Comedy & Talk Shows', 'TV Comedies']"
Farishad I. Latjuba,"['Dramas', 'International Movies', 'Romantic Movies']"
Andrucha Waddington,"['Docuseries', 'International TV Shows']"
 Pedro Waddington,"['Docuseries', 'International TV Shows']"
Picky Talarico,"['Docuseries', 'Spanish-Language TV Shows']"
Jun Lana,"['Dramas', 'International Movies', 'LGBTQ Movies', 'Comedies', 'Independent Movies', 'Romantic Movies']"
Brad Peyton,"['Horror Movies', 'Thrillers', 'Children & Family Movies', 'Comedies']"
Lee Daniels,['Dramas']
Tom Ford,"['Dramas', 'Thrillers', 'Independent Movies', 'LGBTQ Movies']"
Ellena Wood,"['British TV Shows', 'Crime TV Shows', 'Docuseries']"
 Jesse Vile,"['British TV Shows', 'Crime TV Shows', 'Docuseries']"
Vir Das,['Stand-Up Comedy']
Miranda de Pencier,"['Dramas', 'Independent Movies', 'Sports Movies']"
Farhad Safinia,"['Dramas', 'Independent Movies']"
Shaun Paul Piccinino,"['Comedies', 'Romantic Movies', 'Sports Movies', 'Dramas', 'Children & Family Movies']"
Eddie Rosas,['Children & Family Movies']
Frank E. Abney III,"['Children & Family Movies', 'Dramas']"
James D. Stern,['Documentaries']
 Fernando Villena,['Documentaries']
Ryan Murphy,"['Comedies', 'LGBTQ Movies', 'Music & Musicals', 'Dramas', 'Romantic Movies']"
Girish Malik,"['Dramas', 'International Movies', 'Sports Movies', 'Independent Movies']"
Deepa Mehta,"['Dramas', 'LGBTQ Movies']"
Lai Chun-yu,"['Crime TV Shows', 'International TV Shows', 'TV Dramas']"
Theodore Boborol,"['International Movies', 'Romantic Movies']"
Mae Czarina Cruz,"['Dramas', 'International Movies', 'Romantic Movies', 'Children & Family Movies', 'Comedies']"
Jun Lana,"['Dramas', 'International Movies', 'LGBTQ Movies', 'Comedies', 'Independent Movies', 'Romantic Movies']"
Jun Lana,"['Dramas', 'International Movies', 'LGBTQ Movies', 'Comedies', 'Independent Movies', 'Romantic Movies']"
Sydney Sibilia,"['Comedies', 'Dramas', 'International Movies']"
Josiah Ng,"['Documentaries', 'International Movies']"
Kirk Wise,"['Children & Family Movies', 'Comedies']"
Beth Sleven,['Children & Family Movies']
 Allan Jacobsen,['Children & Family Movies']
 Kevin Wotton,['Children & Family Movies']
Steve Ball,['Children & Family Movies']
John Hillcoat,"['Dramas', 'Thrillers']"
Tate Taylor,"['Dramas', 'Music & Musicals', 'Action & Adventure']"
Jalil Lespert,"['Crime TV Shows', 'Docuseries', 'International TV Shows', 'Dramas', 'International Movies', 'Thrillers', 'Independent Movies']"
Su I-Hsuan,"['International TV Shows', 'TV Dramas', 'TV Horror']"
 Chuang Shiang-an,"['International TV Shows', 'TV Dramas', 'TV Horror']"
 Liu Yi,"['International TV Shows', 'TV Dramas', 'TV Horror']"
Clint Butler,['Children & Family Movies']
Erik Kling,"['Children & Family Movies', 'Comedies']"
 Kevin Peaty,"['Children & Family Movies', 'Comedies']"
Detlev Buck,"['Comedies', 'International Movies', 'Thrillers', 'Children & Family Movies', 'Music & Musicals']"
David Fincher,"['Thrillers', 'Dramas', 'Independent Movies', 'Cult Movies']"
Amanda Raymond,"['Children & Family Movies', 'Dramas']"
Jason Paul Laxamana,"['Dramas', 'International Movies', 'Romantic Movies', 'Comedies']"
Marc Fouchard,"['Comedies', 'Dramas', 'International Movies']"
Darragh O'Connell,['Children & Family Movies']
Roberto Santucci,"['Comedies', 'International Movies']"
Dado C. Lumibao,"['Comedies', 'Dramas', 'International Movies']"
August Jakobsson,['Stand-Up Comedy']
Anna Wieczur-Bluszcz,"['Comedies', 'Dramas', 'International Movies']"
McG,"['Action & Adventure', 'Comedies', 'Children & Family Movies', 'Thrillers', 'Romantic Movies', 'Horror Movies', 'Independent Movies', 'Sci-Fi & Fantasy', 'Documentaries', 'Movies']"
Damien O’Connor,['Children & Family Movies']
Ron Howard,"['Action & Adventure', 'Dramas', 'International Movies', 'Thrillers', 'Children & Family Movies', 'Comedies', 'Sci-Fi & Fantasy']"
Jon Favreau,"['Children & Family Movies', 'Sci-Fi & Fantasy', 'Comedies', 'Independent Movies']"
Richard Laxton,"['Dramas', 'International Movies', 'Romantic Movies']"
Gil Kenan,"['Children & Family Movies', 'Comedies']"
Phil Burgers,['Comedies']
Pierre Morel,"['Action & Adventure', 'International Movies']"
Simon Wincer,"['Action & Adventure', 'Comedies', 'Children & Family Movies', 'Dramas']"
Ron Howard,"['Action & Adventure', 'Dramas', 'International Movies', 'Thrillers', 'Children & Family Movies', 'Comedies', 'Sci-Fi & Fantasy']"
Brian Henson,"['Action & Adventure', 'Comedies']"
Derick Cabrido,"['Horror Movies', 'International Movies']"
Marla M. Ancheta,"['Dramas', 'International Movies']"
Jen McGowan,['Thrillers']
Bernie Denk,['Children & Family Movies']
Brian Skiba,['Action & Adventure']
Stanley Moore,['Children & Family Movies']
 Alex Woo,['Children & Family Movies']
Oliver Bokelberg,"['Children & Family Movies', 'Documentaries']"
Ángel Gómez Hernández,"['Horror Movies', 'International Movies']"
Ludovico Di Martino,"['Action & Adventure', 'International Movies']"
Lee Chung-hyun,"['International Movies', 'Thrillers']"
Barry Gonzalez,"['Comedies', 'International Movies', 'LGBTQ Movies']"
Brian Volk-Weiss,['Stand-Up Comedy']
Matthew Michael Carnahan,"['Action & Adventure', 'Dramas', 'International Movies']"
Cathy Garcia-Molina,"['Dramas', 'International Movies', 'Romantic Movies', 'Comedies']"
Eric Bress,['Horror Movies']
Paul Dugdale,"['Documentaries', 'Music & Musicals', 'International Movies']"
Chris Columbus,"['Children & Family Movies', 'Comedies']"
V Vignarajan,"['Horror Movies', 'International Movies', 'Thrillers']"
V Vignarajan,"['Horror Movies', 'International Movies', 'Thrillers']"
BB Sasore,"['Dramas', 'Faith & Spirituality', 'International Movies', 'International TV Shows', 'Romantic TV Shows', 'TV Comedies', 'Comedies']"
Greg Rankin,"['Children & Family Movies', 'Comedies']"
 TJ Sullivan,"['Children & Family Movies', 'Comedies']"
Ron Howard,"['Action & Adventure', 'Dramas', 'International Movies', 'Thrillers', 'Children & Family Movies', 'Comedies', 'Sci-Fi & Fantasy']"
Carlos Sorín,"['Dramas', 'International Movies']"
Matt Eskandari,['Action & Adventure']
Grant Singer,"['Documentaries', 'Music & Musicals']"
Mohammad Adel,"['Action & Adventure', 'Comedies', 'International Movies']"
Debbie Allen,"['Children & Family Movies', 'Music & Musicals']"
Robert Rodriguez,"['Children & Family Movies', 'Comedies', 'Action & Adventure']"
Victor Gatonye,"['International Movies', 'Thrillers']"
Stephen Chiodo,"['Children & Family Movies', 'Comedies', 'Cult Movies', 'Horror Movies']"
Will McCormack,['Dramas']
 Michael Govier,['Dramas']
Monica Floyd,"['Children & Family Movies', 'Comedies']"
Anurag Kashyap,"['Dramas', 'International Movies', 'Thrillers', 'Horror Movies', 'Crime TV Shows', 'International TV Shows', 'TV Dramas', 'Romantic Movies', 'Comedies']"
Siddique,"['Action & Adventure', 'Comedies', 'International Movies']"
Danish Aslam,"['Comedies', 'International Movies', 'Music & Musicals']"
Vibhu Virender Puri,"['Dramas', 'International Movies', 'Romantic Movies']"
Cathy Garcia-Molina,"['Dramas', 'International Movies', 'Romantic Movies', 'Comedies']"
Anurag Kashyap,"['Dramas', 'International Movies', 'Thrillers', 'Horror Movies', 'Crime TV Shows', 'International TV Shows', 'TV Dramas', 'Romantic Movies', 'Comedies']"
Rohit Shetty,"['Action & Adventure', 'Comedies', 'International Movies', 'Dramas', 'Music & Musicals']"
Ribhu Dasgupta,"['International Movies', 'Thrillers', 'Dramas', 'Independent Movies']"
Mike Rohl,"['Children & Family Movies', 'Comedies', 'Dramas']"
Cathy Garcia-Molina,"['Dramas', 'International Movies', 'Romantic Movies', 'Comedies']"
Shyam Benegal,"['Comedies', 'International Movies', 'Dramas', 'Independent Movies']"
Takeshi Fukunaga,"['Dramas', 'International Movies']"
Leslie Small,"['Stand-Up Comedy', 'Children & Family Movies', 'Dramas', 'Comedies']"
Jeff Nichols,"['Dramas', 'Romantic Movies', 'Action & Adventure', 'Sci-Fi & Fantasy', 'Independent Movies']"
Sabaah Folayan,['Documentaries']
 Damon Davis,['Documentaries']
Justin G. Dyck,"['Music & Musicals', 'Romantic Movies', 'Comedies', 'Dramas', 'International Movies', 'Children & Family Movies']"
Cody Cameron,"['Children & Family Movies', 'Comedies']"
 Kris Pearn,"['Children & Family Movies', 'Comedies']"
Justin G. Dyck,"['Music & Musicals', 'Romantic Movies', 'Comedies', 'Dramas', 'International Movies', 'Children & Family Movies']"
Michael Curtiz,"['Children & Family Movies', 'Classic Movies', 'Comedies']"
Damián Romay,['Thrillers']
Avinash Walzade,"['Children & Family Movies', 'Comedies']"
David E. Talbert,"['Children & Family Movies', 'Music & Musicals', 'Comedies', 'Dramas']"
Renata Terra,"['Documentaries', 'International Movies']"
Edoardo Ponti,"['Dramas', 'International Movies']"
Mateo Gil,"['Crime TV Shows', 'International TV Shows', 'Spanish-Language TV Shows', 'Comedies', 'International Movies', 'Romantic Movies']"
Cathy Garcia-Molina,"['Dramas', 'International Movies', 'Romantic Movies', 'Comedies']"
Paul Soriano,"['Dramas', 'International Movies', 'Romantic Movies', 'Sports Movies']"
Ryan Coogler,"['Dramas', 'Independent Movies', 'Action & Adventure', 'Sci-Fi & Fantasy']"
Anurag Basu,"['Dramas', 'International Movies', 'Thrillers', 'Comedies', 'Music & Musicals', 'Action & Adventure']"
Lucas Santa Ana,"['Dramas', 'International Movies', 'LGBTQ Movies']"
Nelson McCormick,"['Horror Movies', 'Thrillers']"
Carla Barros,"['International TV Shows', 'Reality TV']"
Ulrike Kofler,"['Dramas', 'International Movies']"
Steven Bognar,"['TV Shows', 'Documentaries']"
 Julia Reichert,"['TV Shows', 'Documentaries']"
Kunle Afolayan,"['Dramas', 'International Movies', 'Thrillers', 'Comedies', 'Romantic Movies', 'Horror Movies']"
Weica Wang,"['Dramas', 'International Movies', 'International TV Shows', 'TV Dramas', 'TV Thrillers']"
Aitor Arregi,"['Dramas', 'Independent Movies', 'International Movies']"
 Jon Garaño,"['Dramas', 'Independent Movies', 'International Movies']"
 Jose Mari Goenaga,"['Dramas', 'Independent Movies', 'International Movies']"
Kevin Pollak,['Comedies']
Otoja Abit,"['Dramas', 'LGBTQ Movies', 'Romantic Movies']"
Antoinette Jadaone,"['Dramas', 'Independent Movies', 'International Movies', 'Comedies', 'Romantic Movies']"
Alejandro Hartmann,"['Crime TV Shows', 'Docuseries', 'International TV Shows']"
Maxwell McGuire,"['Comedies', 'Romantic Movies']"
Ruel S. Bayani,"['Dramas', 'International Movies', 'Romantic Movies']"
Martin Wood,"['Children & Family Movies', 'Comedies', 'Romantic Movies']"
Justin G. Dyck,"['Music & Musicals', 'Romantic Movies', 'Comedies', 'Dramas', 'International Movies', 'Children & Family Movies']"
Narendra Nath,"['Dramas', 'International Movies']"
Jan-Peter Horns,['Stand-Up Comedy']
Tatsushi Omori,"['Dramas', 'International Movies']"
Estela Renner,"['Documentaries', 'International Movies', 'Docuseries', 'International TV Shows', 'Science & Nature TV']"
Zeek Earl,"['Sci-Fi & Fantasy', 'Thrillers']"
 Christopher Caldwell,"['Sci-Fi & Fantasy', 'Thrillers']"
Michael Kampa,"['Children & Family Movies', 'Comedies']"
Chanda Bell,['Children & Family Movies']
Chanda Bell,['Children & Family Movies']
Jennifer Westcott,['Children & Family Movies']
Richard Greenberg,"['Children & Family Movies', 'Comedies']"
Peter Berg,"['Action & Adventure', 'Comedies']"
Nicolas Pesce,"['Dramas', 'Independent Movies', 'Thrillers', 'Horror Movies']"
Oliver Stone,"['Dramas', 'Thrillers', 'Docuseries', 'Action & Adventure', 'Classic Movies']"
J.A. Bayona,"['Dramas', 'Sci-Fi & Fantasy']"
Christopher Cain,"['Action & Adventure', 'Dramas', 'Sports Movies']"
Shaun Paul Piccinino,"['Comedies', 'Romantic Movies', 'Sports Movies', 'Dramas', 'Children & Family Movies']"
Juliana Vicente,"['Docuseries', 'International TV Shows']"
Harald Zwart,"['Action & Adventure', 'Dramas', 'International Movies']"
Stacia Crawford,"['Dramas', 'Independent Movies', 'Thrillers']"
Remi Weekes,"['Horror Movies', 'Independent Movies']"
Tope Oshin,"['Dramas', 'International Movies']"
Terrie Samundra,"['Horror Movies', 'International Movies']"
Olivier Marchal,"['Dramas', 'International Movies', 'Thrillers']"
Santiago Alvarado Ilarri,"['Horror Movies', 'International Movies']"
Frasco Mortiz,"['Horror Movies', 'International Movies']"
John Whitesell,"['Comedies', 'Romantic Movies']"
Antonio Díaz,['International Movies']
Nimród Antal,['Music & Musicals']
Bartosz M. Kowalski,"['Horror Movies', 'International Movies']"
James Tovell,['Documentaries']
Matías Gueilburt,"['Documentaries', 'International Movies', 'Sports Movies']"
Natasha Lyonne,['Comedies']
Chang Chin-jung,"['International TV Shows', 'Romantic TV Shows', 'TV Mysteries']"
 Chen Rong-hui,"['International TV Shows', 'Romantic TV Shows', 'TV Mysteries']"
Rajkumar Santoshi,"['Comedies', 'International Movies', 'Music & Musicals', 'Dramas', 'Action & Adventure', 'Cult Movies']"
Lance Daly,"['Action & Adventure', 'Dramas', 'Independent Movies']"
Unjoo Moon,"['Dramas', 'Music & Musicals']"
Gil Baroni,"['Comedies', 'International Movies', 'LGBTQ Movies']"
Thierry Demaizière,"['Docuseries', 'International TV Shows', 'Documentaries', 'International Movies']"
 Alban Teurlai,"['Docuseries', 'International TV Shows', 'Documentaries', 'International Movies']"
Glen Keane,"['Children & Family Movies', 'Music & Musicals']"
Chris Sivertson,"['Dramas', 'Thrillers']"
Kief Davidson,"['Documentaries', 'Music & Musicals']"
 Pedro Kos,['Documentaries']
Jarand Herdal,"['Horror Movies', 'International Movies']"
Dan Villegas,"['Dramas', 'International Movies', 'Romantic Movies', 'Music & Musicals', 'Comedies']"
Chris Foggin,"['Comedies', 'Dramas', 'Music & Musicals']"
Cathy Garcia-Molina,"['Dramas', 'International Movies', 'Romantic Movies', 'Comedies']"
Kim Nguyen,"['Dramas', 'Independent Movies', 'Documentaries', 'International Movies', 'Romantic Movies']"
Karen Maine,"['Comedies', 'Dramas', 'Independent Movies']"
Tim Neeves,"['Documentaries', 'International Movies']"
Ben Wheatley,"['Dramas', 'Romantic Movies', 'Thrillers', 'Action & Adventure', 'Comedies', 'Independent Movies']"
Richard Weston,['Children & Family Movies']
Don Michael Paul,"['Action & Adventure', 'Dramas', 'Horror Movies', 'Comedies', 'Sci-Fi & Fantasy']"
Maroun Baghdadi,"['Classic Movies', 'Dramas', 'International Movies', 'Independent Movies', 'Documentaries']"
Philippe Aractingi,"['Dramas', 'International Movies', 'Music & Musicals', 'Documentaries', 'Independent Movies']"
Amin Dora,"['Comedies', 'Dramas', 'International Movies']"
Philippe Aractingi,"['Dramas', 'International Movies', 'Music & Musicals', 'Documentaries', 'Independent Movies']"
Philippe Aractingi,"['Dramas', 'International Movies', 'Music & Musicals', 'Documentaries', 'Independent Movies']"
Maroun Baghdadi,"['Classic Movies', 'Dramas', 'International Movies', 'Independent Movies', 'Documentaries']"
Rana Eid,"['Documentaries', 'International Movies']"
Daniel Joseph,"['Dramas', 'International Movies']"
Randa Chahal Sabbag,"['Dramas', 'International Movies', 'Romantic Movies']"
Maroun Baghdadi,"['Classic Movies', 'Dramas', 'International Movies', 'Independent Movies', 'Documentaries']"
Philippe Aractingi,"['Dramas', 'International Movies', 'Music & Musicals', 'Documentaries', 'Independent Movies']"
Ziad Doueiri,"['Dramas', 'International Movies', 'Crime TV Shows', 'International TV Shows', 'TV Dramas']"
Shady Hanna,"['Comedies', 'International Movies', 'Romantic Movies']"
Maroun Baghdadi,"['Classic Movies', 'Dramas', 'International Movies', 'Independent Movies', 'Documentaries']"
Josef Fares,"['Dramas', 'International Movies']"
Sam Fell,"['Children & Family Movies', 'Comedies']"
 Chris Butler,"['Children & Family Movies', 'Comedies']"
Ross Boyask,['Action & Adventure']
David 'Tosh' Gitonga,"['Comedies', 'International Movies', 'Romantic Movies']"
 Michael Jones,"['Comedies', 'International Movies', 'Romantic Movies']"
Ti West,['Action & Adventure']
Manolo Caro,"['Comedies', 'International Movies', 'Music & Musicals', 'Crime TV Shows', 'International TV Shows', 'Spanish-Language TV Shows', 'Movies']"
Aaron Sorkin,['Dramas']
Levan Gabriadze,"['Horror Movies', 'Thrillers']"
Rachel Talalay,['Children & Family Movies']
Sam Liu,"['Action & Adventure', 'Sci-Fi & Fantasy', 'Children & Family Movies']"
Peter Mimi,"['Action & Adventure', 'Comedies', 'International Movies']"
Hanung Bramantyo,"['Dramas', 'International Movies', 'Romantic Movies', 'Faith & Spirituality']"
Lasja Fauzia Susatyo,"['Dramas', 'International Movies', 'Romantic Movies']"
Pavitra Chalam,"['Documentaries', 'International Movies']"
 Akshay Shankar,"['Documentaries', 'International Movies']"
