Director,Genre(s)
 Beverly Joubert,"['Animals & Nature, Documentary']"
Shawn Levy,"['Action-Adventure, Comedy, Family', 'Comedy, Family']"
Adam Shankman,"['Action-Adventure, Comedy, Spy/Espionage', 'Comedy, Family', 'Comedy, Family, Fantasy']"
Lena Khan,"['Comedy, Coming of Age, Drama']"
Jorge R. Gutiérrez,"['Action-Adventure, Animation, Comedy']"
Robert Iscove,"['Comedy, Family, Fantasy']"
Andy Fickman,"['Comedy', 'Action-Adventure, Family, Science Fiction', 'Comedy, Family, Sports']"
Kentaro Takayanagi,"['Biographical, Documentary, Music']"
Katie Bauer Murdock,"['Documentary', 'Animals & Nature, Documentary']"
Joe Nussbaum,"['Coming of Age, Fantasy', 'Comedy, Coming of Age, Drama']"
Natalie Hewit,['Documentary']
Harald Pokieser,"['Animals & Nature, Documentary']"
Wes Anderson,"['Action-Adventure, Animation, Comedy', 'Animation, Comedy, Crime']"
Rob Marshall,"['Action-Adventure, Fantasy', 'Family, Fantasy, Musical', 'Action-Adventure, Fantasy, Musical', 'Drama, Family, Musical']"
Carlos Saldanha,"['Animation, Comedy, Family', 'Action-Adventure, Animation, Comedy']"
Steve Purcell,"['Action-Adventure, Animation, Comedy']"
Luc Marescot,"['Animals & Nature, Documentary']"
Jimmy Hayward,"['Animation, Comedy, Family']"
 Steve Martino,"['Animation, Comedy, Family']"
Mark Woodward,"['Animals & Nature, Documentary']"
Brandon Hill,"['Animals & Nature, Documentary']"
 Marc Ostrick,"['Animals & Nature, Documentary']"
Madeline Sharafian,"['Animation, Family']"
Tim Hill,"['Animation, Comedy, Family', 'Comedy, Family, Kids', 'Comedy, Family']"
Pete Docter,"['Animation, Comedy, Family', 'Animation, Coming of Age, Family', 'Animation, Buddy, Comedy', 'Action-Adventure, Animation, Buddy']"
Michal Makarewicz,"['Animation, Family']"
Rob Marshall,"['Action-Adventure, Fantasy', 'Family, Fantasy, Musical', 'Action-Adventure, Fantasy, Musical', 'Drama, Family, Musical']"
Thomas Astruc,"['Animation, Fantasy', 'Action-Adventure, Animation, Fantasy']"
Rich Moore,"['Action-Adventure, Animation, Comedy', 'Animation, Comedy, Family']"
 Phil Johnston,"['Action-Adventure, Animation, Comedy']"
Reginald Hudlin,"['Biographical, Drama, Sports']"
Don Bluth,"['Animation, Family, Fantasy', 'Animation, Family, Historical']"
 Gary Goldman,"['Animation, Family, Fantasy']"
Sharon Maguire,"['Comedy, Family, Fantasy']"
Niki Caro,"['Drama, Sports', 'Action-Adventure, Coming of Age, Drama']"
Mike Mitchell,"['Comedy, Family, Music', 'Action-Adventure, Comedy, Family']"
Lasse Hallström,"['Action-Adventure, Family, Fantasy']"
 Joe Johnston,"['Action-Adventure, Family, Fantasy']"
Miguel Arteta,"['Comedy, Coming of Age, Family']"
Ashley Avis,"['Animals & Nature, Coming of Age, Drama']"
Angela Affinita,"['Animation, Family']"
Klay Hall,"['Action-Adventure, Animation, Comedy', 'Action-Adventure, Animation, Fantasy']"
Bobs Gannaway,"['Action-Adventure, Animation, Comedy', 'Animation, Comedy, Family']"
Ken Cunningham,"['Action-Adventure, Animation, Science Fiction', 'Action-Adventure, Animation, Comedy']"
Chris Columbus,"['Comedy, Drama', 'Action-Adventure, Comedy, Coming of Age', 'Comedy, Family', 'Action-Adventure, Family, Fantasy']"
Chris Columbus,"['Comedy, Drama', 'Action-Adventure, Comedy, Coming of Age', 'Comedy, Family', 'Action-Adventure, Family, Fantasy']"
Raja Gosnell,"['Comedy, Family', 'Action-Adventure, Comedy, Family']"
Thierry Fessard,"['Documentary, Historical']"
 Yohann Thiriet,"['Documentary, Historical']"
Peter Yost,"['Documentary, Historical']"
Robert Zemeckis,"['Animation, Fantasy', 'Action-Adventure, Animation, Comedy']"
Stanley Tong,"['Action-Adventure, Comedy, Crime']"
Kevin Deters,"['Animation, Family, Fantasy', 'Animation, Comedy, Family']"
 Stevie Wermers-Skelton,"['Animation, Family, Fantasy']"
Kevin Deters,"['Animation, Family, Fantasy', 'Animation, Comedy, Family']"
 Stevie Wermers-Skelton,"['Animation, Family, Fantasy']"
Trevor Moore,"['Comedy, Variety']"
Jon Turteltaub,"['Action-Adventure, Fantasy', 'Comedy, Drama, Romance', 'Action-Adventure, Mystery, Thriller', 'Biographical, Comedy, Family', 'Comedy, Drama, Family']"
Dan Abraham,"['Animation, Comedy, Coming of Age']"
 Trent Correy,"['Animation, Comedy, Coming of Age']"
Ben Finney,"['Documentary, Historical']"
Angus MacLane,"['Animation, Comedy, Family', 'Action-Adventure, Animation, Comedy', 'Animation, Family, Kids']"
Raja Gosnell,"['Comedy, Family', 'Action-Adventure, Comedy, Family']"
Justin Baldoni,"['Biographical, Drama, Music']"
Renan Ozturk,"['Animals & Nature, Documentary, Survival']"
Leo Riley,"['Action-Adventure, Animation, Science Fiction']"
Michael Apted,"['Action-Adventure, Family, Fantasy']"
Christian Baumeister,"['Animals & Nature, Documentary, Family']"
Bryan Singer,"['Action-Adventure, Family, Science Fiction']"
Stephen Herek,"['Drama, Music', 'Comedy, Drama, Sports', 'Action-Adventure, Comedy, Family']"
Jacques Perrin,"['Animals & Nature, Documentary, Family']"
 Jacques Cluzaud,"['Animals & Nature, Documentary, Family']"
Theodore Melfi,"['Biographical, Drama, Family']"
Moritz Katz,"['Animals & Nature, Documentary']"
Andy Tennant,"['Drama, Romance']"
Mark Monroe,"['Documentary, Sports']"
Fabrice Gardel,['Documentary']
 Simon Kessler,['Documentary']
 Josselin Mahot,['Documentary']
Marc Forster,"['Drama, Family, Fantasy']"
Sam Weisman,"['Comedy, Drama, Family', 'Action-Adventure, Comedy, Family']"
Robert Lieberman,"['Comedy, Coming of Age, Drama']"
Jack Hannah,"['Animation, Family, Fantasy', 'Animation, Family', 'Animation, Family, Sports', 'Animation, Comedy, Family', 'Animation, Family, Kids']"
James Bobin,"['Action-Adventure, Fantasy', 'Action-Adventure, Comedy, Family', 'Comedy, Family, Kids']"
Bill Condon,"['Family, Fantasy, Musical']"
Martin Johnson,['Documentary']
Thea Sharrock,"['Drama, Family, Fantasy']"
Paul Hoen,"['Coming of Age, Fantasy, Musical', 'Coming of Age, Music, Musical', 'Sports', 'Comedy, Mystery', 'Comedy, Coming of Age, Sports', 'Action-Adventure, Comedy, Science Fiction', 'Comedy, Science Fiction', 'Coming of Age, Dance, Sports', 'Coming of Age, Drama, Music', 'Comedy, Coming of Age, Fantasy', 'Comedy, Coming of Age, Drama', 'Comedy, Coming of Age, Music', 'Drama, Music', 'Coming of Age, Drama', 'Coming of Age, Drama, Fantasy', 'Coming of Age, Musical, Science Fiction']"
Mark Waters,"['Comedy, Family', 'Comedy, Family, Fantasy']"
Peyton Reed,"['Action-Adventure, Comedy, Science Fiction']"
Michael Gracey,"['Biographical, Drama, Family']"
Don Hahn,"['Biographical, Documentary, Music', 'Documentary']"
Mike Newell,"['Action-Adventure, Fantasy']"
Ben Wallis,"['Animals & Nature, Documentary, Family']"
 Emma Fraser,"['Animals & Nature, Documentary, Family']"
