Directors,Count
Philip Cook,1
Caroline Côté,1
Sandip Ray,1
Gaurav Seth,1
Robert F. Hill,1
Janson Media,1
Jackson Ducasse,1
Christopher Bell,1
Murali Ramaswamy,1
Wes Miller,2
Timothy Linh Bui,1
Steven E. de Souza,1
Kirk Douglas,1
Laslo Benedek,1
James Komach,1
Bob Clark,2
Charlie David,1
Paul Powell,1
David Holley,1
 Deborah Cardona,1
Jeff Gibbs,1
Yen Tan,1
Pinkfong,11
Sean LaFollette,1
Tommy Vance,1
 Graham McTavish,1
Dan Milner,1
Ash Christian,1
Rohin Venkatesan,2
Tom Tykwer,1
Eashvar Karthic,3
Péter Engert,1
Adrian Cale,1
Uli Edel,1
Gil Cunha,2
R.S Durai Senthilkumar,4
Jim Jarmusch,2
Jan Eliasberg,1
Nicolas Breton,1
Victor Halperin,3
Philippe Lefebvre,1
Prosit Roy,1
Michael Moore,3
Carl Pierson,2
Robert Connolly,1
William Beaudine,5
James Erskine,1
Eugenio Martin,1
Zac Crouse,1
David Albala,2
Anand Ranga,1
Owen Benjamin,1
Samuel Brownfield,5
Paul Krizan,1
K. Bhagyaraj,2
Paul Fleming,1
Glenn Jordan,4
John Burgess,1
Henderson Maddox,1
Eric Quizon,1
D.W. Griffith,2
Bill Rahn,1
Stephen Canty,1
Boris Ivanov,1
Leon Leonard,1
William J. Cowen,1
Luis Puenzo,1
Stanley Kramer,1
Lisa Klein,1
 Doug Blush,1
M.D. Sridhar,2
Simon Pike,1
Stuart McDonald,1
J.J. Johnson,3
Peter Venn,1
Derek Holder,1
 Cannis Holder,1
John Hussey,4
Sona Jho,2
Herbert Wilcox,1
Nitin Kakkar,2
Anand Shankar,1
 Elmer Clifton,1
Jay Craven,2
David Hartford,1
David Wall,2
Danny Phillips,1
Rama Rau,1
Sam Firstenberg,1
Andrew Green,1
Mark L. Lester,2
Sidney Lumet,4
W. Merle Connell,1
Mickey Blaine,1
Kevin Parker Flynn,1
Nick Thune,1
Jason Bernard,1
Cosmo Segurson,1
K. Selvaraghavan,1
Harry Horner,2
 John Beal,1
Norman McLeod,1
Rocky Lang,1
Nenshad H. Karbhari,1
Wallace Fox,3
Not Available,3
Tom Barbor-Might,1
Jayesh Pradhan,1
David Mackay,1
James Prosek,1
Joe Pontecorvo,1
Allison Argo,1
Jeff Turner,1
Ron Meyer,1
Joe Cacaci,1
Felix Limardo,1
Joe Carnahan,3
Vikram Kumar,1
Dilip Naik,1
Nag Ashwin,2
Krish Jagarlamudi,1
Irving Schwartz,1
Sherri L. VandenAkker,1
Farida Pacha,1
Tonino Valerii,1
Gregory Lacava,1
Nick Hatton Jones,8
 Richard Hickey,8
Amir Bar-Lev,1
Gilbert Cates,1
Anne Le Ny,2
 Luc Béraud,1
Prabhakar Meena Bhaskar Pant,1
PBS,3
Martín Deus,1
George P. Quigley,1
MVD,1
Chip Hale,1
Simerjit Singh,2
Don Hartman,1
Ashok Reddy,1
Helen Langridge,1
Test title,2
Test Director,5
Richard Lester,2
Todd Newman,1
Chuan Lu,1
Pudovkin,1
Pamela Littky,1
Jim Wilmer,7
Morgan Murphy,1
Joseph Ebanks,1
Jason Holmes,1
Michael Parkhurst,1
Ari Selinger,1
Les Anas,2
Nelson Venkatesan,2
Graham Theakston,2
Steven Feinartz,4
Dewey Allen,1
Michael DeGrazier,1
Mukul Abhyankar,1
Nathan Clarkson,1
Megan Griffiths,2
Johan Nijenhuis,1
 William A. Berke,1
Ivan Nagy,1
John Francis Dillon,1
Vinod Anantoju,1
Don Sperling,1
Barry Bowles,1
 Eric von Stroheim,1
Melinda Hill,1
Christopher Rey,1
MARK STOLZENBERG,1
Ralph Cedar,1
 Ralph Ceder,1
Keith Bearden,2
Bernard Vorham,1
 Bernard Vorhaus,1
Roger Sherman,1
Jonathan Zuck,1
Shreyash Jadhav,1
Michael Offer,1
Venu Sriram,3
Alex Pires,1
Jay Martin,1
Andrew Zenn,1
 J.D. Butler,1
 Lloyd Goldfine,4
 Matt Besser,1
Ritesh Rana,1
Lokesh Kanagaraj,7
Philip Selkirk,1
Rene Bonniere,1
David Winning,1
Jay Kanzler,1
Letia Clouston,3
Sprocket Flicks,1
Damien Eckhardt-Jacobi,7
 Vincent Bova,7
Marcel Gisler,1
Randall Miller,5
Robert Cohen,1
Babak Payami,1
Vivy Kathiresan,2
Otto Preminger,2
Adam Massey,1
Hugo Fregonese,1
Leigh Jason,1
George Hickenlooper,2
Émile Gaudreault,1
Devin Hume,1
Sam Blair,1
Kurt Neumann,2
Shiva Nirvana,7
Jillian Schlesinger,1
Karthick Naren,2
Scott Sidney,1
Amanda Sthers,1
Aaron Stevenson,1
Robert Mullan,1
C V Kumar,1
Mark Mertens,1
 Wim Bien,1
Lucie Arnaz,1
Prithviraj Sukumaran,3
Quanie Cash,1
Kevin McMullin,2
Abhiraj K Minawala,1
James Hacking,1
T.C. Christensen,2
Helen Slinger,1
Spencer Collins IV,1
Mark von Sternberg,1
Todd Louiso,1
Rob Diamond,2
Pratim D Gupta,1
Robert Flaherty,1
Michael Kerry Matthews,1
 Thomas Matthews,1
Ramaa Mosley,1
Paula Hernández,1
David Semel,1
Myriam Ballesteros,2
Bryan Lewis,1
Howie Dewin,1
Cooper Barnes,1
Jon Keeyes,2
Anthony Simmons,1
Phil Rosan,1
 Norman Z. McLeod,1
Richard Hickey,6
 Nick Hatton Jones,6
Luke Joerger,1
Evan Jackson Leong,1
Peter Schnall,1
Zaahir Abdullah,1
Eric Till,4
Casey Affleck,1
John Kastner,2
Katharine Emmer,1
Mitja Okorn,2
Matt Checkowski,1
Jonathan Singer-Vine,1
Phillyflyboy,1
 Bla G.,1
Justin Kreutzmann,1
Jean Yarbrough,3
John Boorman,1
Eric Styles,1
Mary Wharton,1
Payal Sethi,1
Sexy Intellectual,1
Stevin John,8
Zach Bell,1
HooplaKidz,8
Raghu Samarth,1
Julia Dyer,1
Dwight Little,2
Sidney Furie,2
Mark Herzog,1
 Sandrine Orabona,1
Steve Sekely,1
Lloyd Corrigan,2
Charles Dance,1
Chai Min,1
Karan Gour,1
Manfred Oldenburg,2
Jamison M. LoCascio,1
Anne Wheeler,1
Wang Ping,1
Craig McMahon,3
Chris Bollinger,1
Shane O'Sullivan,1
James Mark,2
Rick King,1
K C Bokadia,1
 Gil Cunha,1
Cory Cavin,1
John Landis,1
Chandrajith Belliappa,1
 Karan Ananth,1
 Shashi Kumar,1
 Rahul PK,1
 Jamadagni Manoj,1
 Kiranraj K,1
 Jai Shankar A,1
Joy Rosalyn,1
Pradeep Krishnamoorthy,4
Brian Aabech,3
Paul Jenkins,1
Pras Lingam,2
Mandeep Benipal,2
Pandiraj,2
K V Anand,2
Pa.Ranjith,3
Omar Iyer,2
Prashanth Neel,5
Ellen Smit,1
Rebekah Fortune,1
Ruhkiya S. Williams,1
Sarah Lancaster,1
Frank J. Ishizaki,1
James F. Collier,2
Michael Giehmann,1
Benjamin DeJesus,1
David M. Talley,1
Alex Ferrari,1
Jean Negulesco,1
 Oreste Palella,1
Jermaine Fowler,1
Danielle Winter,1
Christopher Ashley,1
Jeff Garcia,2
Rob Dipple,1
Frank Marino,1
Kevin Willmott,1
Spencer Gordon Bennet,1
B. V. S. Ravi,1
Bradford Thomason,1
 Brett Whitcomb,1
Karen Thomas,1
Pushpdeep Bhardwaj,1
Tadashi Nakamura,1
S. Kalyaan,2
Ami Canaan Mann,1
Al Carter,1
Thomas Dekker,1
Vanessa Parise,1
Sasha Burrow,1
Alison Chernick,1
Jibi-Joju,1
Doug Prose,1
 Diane LaMacchia,1
Chusy,1
Prerna Wadhawan,1
Anuraj Manohar,1
Jeremy Norrie,2
Jacob Schwarz,1
 Jared Cook,1
Karim Ainouz,1
Don Siegel,2
Grant Lahood,1
Michael A. Ryan,1
Ara Paiaya,2
Hamilton MacFadden,1
Sasha Joelle Achilli,1
Fabricio Heider,1
Travis Milloy,1
Tyrone TIZAK Jackson,2
Iqbal Hans,1
Mark Atkins,2
Frank Strayer,1
 Frank R. Strayer,1
Phil Grabsky,1
Thomas Buschbeck,1
Jonah Miles,1
G P Rama Krishna,1
Tibor Takács,2
Sven Unterwaldt,2
Jean de Segonzac,1
Ian Bagg,1
Edwin L. Marin,2
Aravind SA,2
J. Elvis Weinstein,1
Tom McComas,2
James Cruze,1
Mike Christie,1
Albert Band,1
John Karas,2
Paul Gross,1
Richard L Bare,1
Laurence Thiriat,1
Ai Weiwei,1
Marc de Guerre,1
Michael Wood,1
William Castle,3
Vadim Perelman,1
Pete Gleeson,1
Doug Spearman,2
Michael Dwyer,1
 Kaitlin McLaughlin,1
Janet Kern,1
Rex Piano,2
David Petrucci,1
Arthur Lubin,2
Juan Mas,1
Jodie Foster,2
Frank Lin,1
Alejo Mo-Sun,1
T N Krishna,1
Brett Leonard,1
Russell Mulcahy,4
John Holowach,1
Bob Giraldi,1
John Feist,1
Josh Binney,1
Michelle Ehlen,1
Patrick Creadon,1
Harry Fraser,1
P.S. Mithran,1
Lynn Shores,1
Clive Donner,3
Dick Lowry,2
Don Sharp,1
Trinadha Rao Nakkina,1
Clarence Bricker,1
Alain Gsponer,2
Megan Peterson,1
 John Douglas Sinclair,1
Lew Ayres,1
Duane Adler,1
Kelly Noonan Gores,1
 Adam Schomer,1
Stephen Finnigan,1
Vishal Pandya,2
BJ McDonnell,1
Adam Green,2
Adrian Munsey,1
 Vance Goodwin,1
Hal Ashby,2
Josh Radnor,1
Mike Bencivenga,1
Madoka Raine,1
Charles Vidor,1
Peter Hyams,3
Burt Kennedy,1
Joel Souza,1
Ryan Kawamoto,1
Frédéric Tcheng,1
Richard Kahn,1
 Richard C. Kahn,1
 Bill Karn,1
Dave Fleischer,2
 Willard Bowsky,1
Sujay Shastri,1
Matt Gallagher,1
Tim Wilson,1
Joel Hershman,1
Ryon Baxter,1
Cecil B. DeMille,1
Irving Pichel,2
Kevan Otto,1
Mainak Bhaumik,3
Sashi Kiran Tikka,1
Jim Issa,1
Jack Nicholson,1
Herbert L. Strock,1
Chezzy Boy,1
 Muscle,1
Spencer Weber,1
Daniel Doherty II,1
Clay Tweel,1
Vishal Devrukhkar,2
Edgar G. Ulmer,3
Edgar J. Ulmer,1
Jake Helgren,2
Scott Rutherford,1
 Ben Peyser,1
Predrag Antonijevic,1
Charlie Comparetto,1
Nils Skapāns,1
Aparna Sen,1
Santhosh P Jayakumar,2
Joan Carr-Wiggin,1
Cory Krueckeberg,1
Ninian Doff,1
James Reed Jr.,1
Rocco Urbisci,3
Lauren Greenfield,1
Robert Gordon,1
Jane Preston,1
Gary Owen,1
Michael A. Bloom,1
 Chuck Vinson,1
Adil El Arbi,1
 Bilall Fallah,1
Jerry Kramer,1
Joe Hostettler,3
Gallagher,2
Wayne Orr,1
Marc Payton,1
Abel Dare,1
S Krishna,1
Norman Taurog,2
Alexander Wraith,1
Sacha Jenkins,1
Pannaga Bharana,1
Shana Betz,1
Jordan Hill,3
Saurabh Shrivastava,1
Bob Byington,1
Christopher Andersen,1
Randy Korompis,1
Andrew Jacobs,1
William H. Bushnell Jr.,1
Joshua Sanchez,1
Katia Lewkowicz,1
Claudia Myers,1
Clyde Scott,1
Oleg Stepchenko,1
David McAbee,1
Edward Sutherland,1
 A. Edward Sutherland,1
Jeffrey Bloom,1
Rob Pallatina,1
Steve Kloves,1
Bruce Gower,1
Chang Jeong,1
Stephen Kinigopoulos,1
 Alexa Kinigopoulos,1
Jerry Hibbert,1
Jay Bachochin,1
Julian Grant,5
Warren Fast,1
Kayli Fortun,1
Hugh Hudson,1
Anjan Dutta,1
Otto Brower,2
 David Burton,1
Herbert Kline,2
Harry L. Fraser,1
Deb Ellis,1
 Denis Mueller,1
Mark Neale,2
Louise Palanker and Bill Filipiak,1
Darlene Naponse,1
Vishwak Sen,1
Vincent Masciale,1
Charles Sturridge,1
Vanessa Gazy,1
  Jeremy Robbins,1
  Nicholas Verso,1
  Shawn Thompson,1
Anil Ravipudi,5
Kelley Slagle,1
 Brian Stillman,1
Jay Lowi,1
Baeble Media,1
Steve Greisen,2
Matt Green,2
Brian Jordan Alvarez,1
Beno Obano,1
Cybela Clare,3
Enzo G. Castellari,1
Roar Uthaug,2
Jurgen Schadeberg,1
Aristotle Athiras,2
Kamala Lopez,1
Irving Reis,1
Karen J Lloyd,1
Gautham Menon,2
Peter Kosminsky,1
 Mary Soan,1
Hernán Jiménez,1
Nickolas Rossi,1
Charles Binamé,2
Steve Gerbson,1
Charlie Arnaiz,1
Daniel Bernal,1
Cati Gonzalez,1
Michelle Ferrari,2
Simon Hunter,2
Dustin Jacobs,1
Gobi M. Rahimi,1
David Au,1
John Rich,1
Graham Elwood,1
Lewis R. Foster,1
Frazer Bailey,1
Ian Harris,1
William L. Nolte,1
John L. Potash,1
Mark Joffe,1
Harold Young,1
Matthew Robbins,1
John Hyams,1
Christian Hughes,9
Charles B. Griffith,1
Micah Troy,1
Brian Hennigan,2
Doug Benson,1
Will McFadden,1
Lee Friedlander,1
Mike Dunkin,1
Donald Crisp,1
Nathaniel Atcheson,1
Justin Foia,1
Dominic Wade,1
Super Simple Songs,4
Marshall Cook,2
Thomas Borch Nielse,1
J. Robert Wagoner,1
Etienne Sauret,1
Dave O'Leske,1
Matt Drummond,2
Han Sang-ho,1
Jay Franklyn Jituboh,1
Timothy Hutton,1
Kids 1st TV - Kids Nursery Rhymes TV and Baby Songs,1
Etta Devine,1
 Gabriel Diani,1
Lisa Immordino Vreeland,1
 Bent-Jorgen Perlmutt,1
 Frédéric Tcheng,1
Jeremiah S. Chechik,1
Sanjay Gadhvi,2
Adam Ripp,1
Farhad Mann,1
Shamim Sarif,1
 Ma Liyan,1
 Caitlin Saks,1
 Zachary Fink,1
Steven Bernstein,1
Alvin Rakoff,1
Frida Barkfors,1
 Lasse Barkfors,1
Kurt Kuenne,1
Bharat Kamma,1
Alan Metzger,4
Sam Peckinpah,1
Mike Cuff,1
 Scott Windhauser,1
Alex De Rakoff,1
Alex Turner,1
Gary Sherman,1
Neil Fearnly,1
Steve Wilson,1
Manish Vatsalya,1
