type,title,director,cast,date_added,release_year,duration,listed_in,listed_in_count
TV Show,Disney Fam Jam,,"Phil Wright, Ariel Martin, Trevor Tordjman",2021-01-08,2020,1 Season,"Family, Game Show / Competition, Reality",3
Movie,Ferdinand,Carlos Saldanha,"Jack Gore, Jet Jurgensmeyer, Nile Diaz, Colin H. Murphy, Carlos Saldanha, Jeremy Sisto",2021-01-08,2017,111 min,"Action-Adventure, Animation, Comedy",3
TV Show,Marvel Studios LEGENDS,,,2021-01-08,2021,1 Season,"Action-Adventure, Docuseries, Fantasy",3
Movie,Toy Story: That Time Forgot,Steve Purcell,"Tom Hanks, Tim Allen, Kristen Schaal, Kevin McKidd, Emily Hahn, Wallace Shawn",2021-01-08,2014,22 min,"Action-Adventure, Animation, Comedy",3
Movie,700 Sharks,Luc Marescot,Paul Bandey,2021-01-01,2018,45 min,"Animals & Nature, Documentary",2
Movie,Big Sharks Rule,,Lance Lewman,2021-01-01,2018,45 min,"Animals & Nature, Documentary",2
Movie,Dr. Seuss' Horton Hears a Who!,"Jimmy Hayward, Steve Martino","Jim Carrey, Steve Carell, Will Arnett, Seth Rogen, Isla Fisher, Amy Poehler",2021-01-01,2008,88 min,"Animation, Comedy, Family",3
Movie,Great Shark Chow Down,Mark Woodward,Dan Nachtrab,2021-01-01,2019,45 min,"Animals & Nature, Documentary",2
Movie,Mega Hammerhead,"Brandon Hill, Marc Ostrick",Neil Hammerschlag,2021-01-01,2016,43 min,"Animals & Nature, Documentary",2
Movie,Burrow,Madeline Sharafian,,2020-12-25,2020,6 min,"Animation, Family",2
TV Show,Cosmos: Possible Worlds,,Neil deGrasse Tyson,2020-12-25,2020,1 Season,"Action-Adventure, Docuseries, Family",3
TV Show,Disney Gallery / Star Wars: The Mandalorian,,"Jon Favreau, Dave Filoni, Pedro Pascal, Bryce Howard, Taika Waititi, Carl Weathers",2020-12-25,2020,2 Seasons,"Action-Adventure, Docuseries, Family",3
Movie,Max Keeble's Big Move,Tim Hill,"Alex D. Linz, Larry Miller, Jamie Kennedy, Zena Grey, Josh Peck, Nora Dunn",2020-12-25,2001,88 min,"Comedy, Family",2
Movie,Soul,Pete Docter,"Jamie Foxx, Tina Fey, Angela Bassett, Ahmir-Khalib ""Questlove"" Thompson, Phylicia Rashad, Daveed Diggs",2020-12-25,2020,107 min,"Animation, Comedy, Family",3
Movie,Arendelle Castle Yule Log,,,2020-12-18,2020,180 min,"Animation, Family",2
Movie,Buried Truth of the Maya,,Josh Bernstein,2020-12-18,2020,48 min,"Documentary, Historical",2
TV Show,Disney Parks Sunrise Series,,,2020-12-18,2021,1 Season,"Animals & Nature, Docuseries, Family",3
Movie,Dory's Reef Cam,Michal Makarewicz,,2020-12-18,2020,182 min,"Animation, Family",2
Movie,Into the Woods,Rob Marshall,"Meryl Streep, Emily Blunt, James Corden, Anna Kendrick, Chris Pine, Tracey Ullman",2020-12-18,2014,126 min,"Action-Adventure, Fantasy, Musical",3
Movie,"Miraculous World: New York, United Heroez",Thomas Astruc,"Cristina Vee, Bryce Papenbrook, Keith Silverstein, Carrie Keranen, Selah Victor, Sabrina Weisz",2020-12-18,2020,60 min,"Action-Adventure, Animation, Fantasy",3
TV Show,On Pointe,,,2020-12-18,2020,1 Season,"Docuseries, Family",2
TV Show,Wild Nordic,,Dan Nachtrab,2020-12-18,2019,1 Season,"Animals & Nature, Docuseries, Reality",3
Movie,Disney Channel's Epic Holiday Showdown,,,2020-12-11,2020,50 min,"Fantasy, Variety",2
Movie,Disney Holiday Magic Quest,,,2020-12-11,2020,46 min,Movies,1
Movie,Gender Revolution: A Journey With Katie Couric,,Katie Couric,2020-12-11,2017,93 min,Documentary,1
Movie,High School Musical: The Musical: The Holiday Special,,"Olivia Rodrigo, Joshua Bassett, Sofia Wylie, Matt Cornett, Larry Saperstein, Julia Lester",2020-12-11,2020,46 min,"Drama, Music, Romance",3
Movie,Ralph Breaks the Internet,"Rich Moore, Phil Johnston","John C. Reilly, Sarah Silverman, Gal Gadot, Jane Lynch, Jack McBrayer, Alan Tudyk",2020-12-11,2018,116 min,"Action-Adventure, Animation, Comedy",3
Movie,Safety,Reginald Hudlin,"Jay Reeves, Thaddeus J. Mixson, Corinne Foxx, Matthew Glave, James Badge Dale, Hunter Sansone",2020-12-11,2020,123 min,"Biographical, Drama, Sports",3
Movie,Anastasia,"Don Bluth, Gary Goldman","Meg Ryan, John Cusack, Kelsey Grammer, Christopher Lloyd, Hank Azaria, Bernadette Peters",2020-12-04,1997,95 min,"Animation, Family, Fantasy",3
Movie,Godmothered,Sharon Maguire,"June Squibb, Jillian Bell, Jane Curtin, Carlease Burke, Sonia Manzano, Erica Parks",2020-12-04,2020,113 min,"Comedy, Family, Fantasy",3
Movie,Man vs. Shark,,"Jeremiah Sullivan, Dave Hoffman",2020-12-04,2019,45 min,"Animals & Nature, Documentary",2
Movie,Mulan,Niki Caro,"Yifei Liu, Donnie Yen, Gong Li, Jet Li, Jason Lee, Yoson An",2020-12-04,2020,117 min,"Action-Adventure, Coming of Age, Drama",3
Movie,Sky High,Mike Mitchell,"Kelly Preston, Lynda Carter, Michael Angarano, Danielle Panabaker, Mary Elizabeth Winstead, Bruce Campbell",2020-12-04,2005,101 min,"Action-Adventure, Comedy, Family",3
Movie,The Disney Holiday Singalong,,"Ryan Seacrest, Andrea Bocelli, BTS , Michael Bublé, Ciara , Chloe x Halle",2020-12-04,2020,45 min,"Family, Music, Variety",3
Movie,The Nutcracker and the Four Realms,"Lasse Hallström, Joe Johnston","Keira Knightley, Mackenzie Foy, Eugenio Derbez, Jayden Fowora-Knight, Matthew Macfadyen, Richard Grant",2020-12-04,2018,101 min,"Action-Adventure, Family, Fantasy",3
Movie,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Miguel Arteta,"Steve Carell, Jennifer Garner, Ed Oxenbould, Dylan Minnette, Kerris Dorsey, Jennifer Coolidge",2020-11-27,2014,83 min,"Comedy, Coming of Age, Family",3
Movie,Black Beauty,Ashley Avis,"Mackenzie Foy, Kate Winslet, Iain Glen, Calam Lynch, Claire Forlani, Fern Deacon",2020-11-27,2020,111 min,"Animals & Nature, Coming of Age, Drama",3
Movie,From Our Family to Yours,Angela Affinita,,2020-11-27,2020,3 min,"Animation, Family",2
TV Show,Once Upon a Time in Wonderland,,"Sophie Lowe, Michael Socha, Peter Gadiot, Emma Rigby, Naveen Andrews, John Lithgow",2020-11-27,2013,1 Season,"Action-Adventure, Fantasy, Soap Opera / Melodrama",3
TV Show,Party Animals,,,2020-11-27,2016,1 Season,"Animals & Nature, Kids, Music",3
Movie,Folklore: the long pond studio sessions,,"Taylor Swift, Aaron Dessner, Jack Antonoff, Justin Vernon",2020-11-25,2020,107 min,"Documentary, Music",2
TV Show,Bia,,"Isabela Souza, Giulia Guerrini, Julio Peña, Guido Messina, Andrea de Alba, Agustina Palma",2020-11-20,2019,1 Season,"Coming of Age, Drama, Music",3
TV Show,Marvel's 616,,,2020-11-20,2020,1 Season,"Anthology, Docuseries",2
Movie,Planes,Klay Hall,"Dane Cook, Stacy Keach, Brad Garrett, Teri Hatcher, Julia Louis-Dreyfus, Priyanka Chopra",2020-11-20,2013,94 min,"Action-Adventure, Animation, Comedy",3
Movie,Planes: Fire & Rescue,Bobs Gannaway,"Dane Cook, Ed Harris, Julie Bowen, Curtis Armstrong, John Higgins, Hal Holbrook",2020-11-20,2014,85 min,"Action-Adventure, Animation, Comedy",3
Movie,The Real Right Stuff,,,2020-11-20,2020,90 min,"Documentary, Historical",2
TV Show,The Wonderful World of Mickey Mouse,,"Chris Diamantopoulos, Kaitlyn Robrock, Bill Farmer, Tony Anselmo, Tress MacNeille",2020-11-18,2020,1 Season,"Action-Adventure, Animation, Anthology",3
Movie,LEGO Star Wars Holiday Special,Ken Cunningham,"Helen Sadler, Omar Miller, Jake Green, Kelly Marie Tran, Trevor Devall, Matt Sloan",2020-11-17,2020,48 min,"Action-Adventure, Animation, Comedy",3
Movie,Home Alone,Chris Columbus,"Macaulay Culkin, Joe Pesci, Daniel Stern, John Heard, Roberts Blossom, Catherine O'Hara",2020-11-13,1990,103 min,"Comedy, Family",2
Movie,Home Alone 2: Lost in New York,Chris Columbus,"Macaulay Culkin, Joe Pesci, Daniel Stern, John Heard, Devin Ratray, Catherine O'Hara",2020-11-13,1992,121 min,"Comedy, Family",2
Movie,Home Alone 3,Raja Gosnell,"Alex D. Linz, Haviland Morris, Olek Krupa",2020-11-13,1997,103 min,"Comedy, Family",2
TV Show,Inside Pixar,,,2020-11-13,2020,1 Season,"Docuseries, Family",2
Movie,Petra: Secrets of the Ancient Builders,"Thierry Fessard, Yohann Thiriet",Bert Morris,2020-11-13,2019,45 min,"Documentary, Historical",2
Movie,Ultimate Viking Sword,Peter Yost,Jay Sanders,2020-11-13,2019,45 min,"Documentary, Historical",2
Movie,Disney's A Christmas Carol,Robert Zemeckis,"Jim Carrey, Gary Oldman, Colin Firth, Bob Hoskins, Robin Penn, Cary Elwes",2020-11-06,2009,97 min,"Animation, Fantasy",2
TV Show,Fancy Nancy (Shorts),,"Mia Sinclair Jenness, Dana Heath, Spencer Moss, Alyson Hannigan",2020-11-06,2019,1 Season,"Animation, Kids",2
TV Show,Goldie & Bear,,"Georgie Kidder, Justine Huxley, Natalie Lander, Jim Cummings, David Kaufman, David Lodge",2020-11-06,2015,2 Seasons,"Action-Adventure, Animation, Buddy",3
Movie,Mr. Magoo,Stanley Tong,"Leslie Nielsen, Kelly Lynch, Ernie Hudson, Stephen Tobolowsky, Nick Chinlund, Matt Keeslar",2020-11-06,1997,88 min,"Action-Adventure, Comedy, Crime",3
Movie,Prep & Landing,"Kevin Deters, Stevie Wermers-Skelton","Dave Foley, Sarah Chalke, Mason Cotton, Lino DiSalvo, Derek Richardson, William Sheppard",2020-11-06,2009,23 min,"Animation, Family, Fantasy",3
Movie,Prep & Landing: Naughty vs. Nice,"Kevin Deters, Stevie Wermers-Skelton","Dave Foley, Derek Richardson, Sarah Chalke, Rob Riggle, Chris Parnell, W. Sheppard",2020-11-06,2011,23 min,"Animation, Family, Fantasy",3
Movie,Disney Channel Halloween House Party,Trevor Moore,"Tobie Windham, Raphael Alejandro, Suzi Barrett, Isaac Ryan Brown, Kylie Cantrall, Scarlett Estevez",2020-10-30,2020,23 min,"Comedy, Variety",2
TV Show,The Mandalorian,,"Pedro Pascal, Carl Weathers, Gina Carano, Omid Abtahi, Nick Nolte",2020-10-30,2019,2 Seasons,"Action-Adventure, Family, Science Fiction",3
Movie,The Sorcerer's Apprentice,Jon Turteltaub,"Nicolas Cage, Jay Baruchel, Alfred Molina, Teresa Palmer, Monica Bellucci, Omar Miller",2020-10-30,2010,111 min,"Action-Adventure, Fantasy",2
TV Show,X-Ray Earth,,,2020-10-30,2020,1 Season,"Animals & Nature, Docuseries, Reality",3
TV Show,Gathering Storm,,Tucker McDougall,2020-10-23,2020,1 Season,"Animals & Nature, Docuseries",2
TV Show,India From Above,,Dev Patel,2020-10-23,2019,1 Season,"Docuseries, Reality",2
TV Show,Marvel Super Hero Adventures,,,2020-10-23,2017,4 Seasons,"Action-Adventure, Animation, Kids",3
Movie,Once Upon a Snowman,"Dan Abraham, Trent Correy","Josh Gad, Idina Menzel, Kristen Bell, Jonathan Groff, Chris Williams",2020-10-23,2020,12 min,"Animation, Comedy, Coming of Age",3
Movie,Pompeii: Secrets Of The Dead,Ben Finney,Maite Jauregui,2020-10-23,2019,45 min,"Documentary, Historical",2
Movie,Toy Story of Terror!,Angus MacLane,"Tom Hanks, Tim Allen, Joan Cusack, Carl Weathers, Stephen Tobolowsky, Timothy Dalton",2020-10-23,2013,22 min,"Animation, Comedy, Family",3
Movie,Beverly Hills Chihuahua,Raja Gosnell,"Piper Perabo, Manolo Cardona, Jamie Curtis, Jose Yazpik, Maury Sterling, Jesus Ochoa",2020-10-16,2008,95 min,"Action-Adventure, Comedy, Family",3
Movie,Clouds,Justin Baldoni,"Fin Argus, Sabrina Carpenter, Madison Iseman, Neve Campbell, Tom Scott, Lil Rel Howery",2020-10-16,2020,122 min,"Biographical, Drama, Music",3
Movie,Lost on Everest,Renan Ozturk,Tate Donovan,2020-10-16,2020,60 min,"Animals & Nature, Documentary, Survival",3
Movie,Marvel's Iron Man & Captain America: Heroes United,Leo Riley,"Adrian Pasdar, Roger Smith, Fred Tatasciore, David Kaye, Liam O'Brien, Clancy Brown",2020-10-16,2014,72 min,"Action-Adventure, Animation, Science Fiction",3
TV Show,Meet The Chimps,,Jane Lynch,2020-10-16,2020,1 Season,"Animals & Nature, Docuseries, Family",3
TV Show,The Rocketeer,,"Kitana Turnbull, Billy Campbell, Kathy Najimy, Callan Farris, Frank Welker",2020-10-16,2019,1 Season,"Action-Adventure, Animation, Kids",3
Movie,Oil Spill of The Century,,Loïck Peyron,2020-10-09,2019,45 min,"Documentary, Historical",2
Movie,The Chronicles Of Narnia: The Voyage of the Dawn Treader,Michael Apted,"Georgie Henley, Skandar Keynes, Ben Barnes, Will Poulter, Tilda Swinton",2020-10-09,2010,113 min,"Action-Adventure, Family, Fantasy",3
TV Show,The Right Stuff,,"Jake McDorman, Patrick Adams, Colin O’Donoghue, Eloise Mumford, James Lafferty, Nora Zehetner",2020-10-09,2020,1 Season,"Drama, Historical",2
Movie,Wild Portugal,Christian Baumeister,Bart Thomasson,2020-10-09,2020,45 min,"Animals & Nature, Documentary, Family",3
Movie,X2,Bryan Singer,"Patrick Stewart, Hugh Jackman, Ian McKellen, Halle Berry, Famke Janssen, James Marsden",2020-10-09,2003,134 min,"Action-Adventure, Family, Science Fiction",3
Movie,Mr. Holland's Opus,Stephen Herek,"Richard Dreyfuss, Glenne Headly, Jay Thomas, W.H. Macy, Alicia Witt, Jean Kelly",2020-10-02,1996,143 min,"Drama, Music",2
Movie,Disneynature Oceans,"Jacques Perrin, Jacques Cluzaud","Pierce Brosnan, Lancelot Perrin",2020-09-25,2010,84 min,"Animals & Nature, Documentary, Family",3
Movie,Hidden Figures,Theodore Melfi,"Taraji Henson, Octavia Spencer, Janelle Monáe, Kevin Costner, Kirsten Dunst, Jim Parsons",2020-09-25,2016,128 min,"Biographical, Drama, Family",3
TV Show,Magic of Disney's Animal Kingdom,,Josh Gad,2020-09-25,2020,1 Season,"Animals & Nature, Docuseries, Family",3
Movie,Secret Society of Second-Born Royals,,"Peyton Lee, Niles Fitch, Isabella Blake-Thomas, Olivia Deeble, Skylar Astin, Elodie Yung",2020-09-25,2020,99 min,"Action-Adventure, Coming of Age, Family",3
Movie,The Giant Robber Crab,Moritz Katz,Colin Solman,2020-09-25,2019,44 min,"Animals & Nature, Documentary",2
TV Show,Wild Central America,,Nigel Marven,2020-09-25,2020,1 Season,"Action-Adventure, Animals & Nature, Docuseries",3
TV Show,Ancient China from Above,,Dr. Allan Maca,2020-09-18,2020,1 Season,"Docuseries, Historical",2
TV Show,Becoming,,,2020-09-18,2020,1 Season,"Anthology, Docuseries, Family",3
TV Show,Coop & Cami Ask The World,,"Ruby Turner, Dakota Lotus, Olivia Sanabia, Albert Tsai, Paxton Booth, Rebecca Metz",2020-09-18,2018,2 Seasons,"Comedy, Family, Kids",3
TV Show,Europe from Above,,Julian Barratt,2020-09-18,2019,1 Season,"Docuseries, Reality",2
Movie,Ever After: A Cinderella Story,Andy Tennant,"Drew Barrymore, Anjelica Huston, Dougray Scott, Patrick Godfrey, Megan Dodds, Melanie Lynskey",2020-09-18,1998,122 min,"Drama, Romance",2
TV Show,Kingdom of the Mummies,,Kerry Shale,2020-09-18,2020,1 Season,"Docuseries, Historical, Reality",3
Movie,Morning Light,Mark Monroe,Patrick Warburton,2020-09-18,2008,99 min,"Documentary, Sports",2
Movie,Notre Dame: Race Against The Inferno,"Fabrice Gardel, Simon Kessler, Josselin Mahot",Paul Bandey,2020-09-18,2019,45 min,Documentary,1
TV Show,Once Upon a Time,,"Ginnifer Goodwin, Jennifer Morrison, Robert Carlyle, Lana Parrilla, Jared Gilmore, Josh Dallas",2020-09-18,2011,7 Seasons,"Action-Adventure, Fantasy, Soap Opera / Melodrama",3
TV Show,Soy Luna,,"Karol Sevilla, Ruggero Pasquarelli, Valentina Zenere, Lucila Gandolfo, Michael Ronda, Carolina Kopelioff",2020-09-18,2015,3 Seasons,"Comedy, Coming of Age, Drama",3
TV Show,Violetta,,"Diego Ramos, Martina Stoessel, Pablo Espinosa, Jorge Blanco, Mercedes Lambre, Nicolás Garnier",2020-09-18,2011,3 Seasons,"Coming of Age, Drama, Music",3
Movie,Christopher Robin,Marc Forster,"Ewan McGregor, Hayley Atwell, Bronte Carmichael, Mark Gatiss, Oliver Davies, Ronke Adekoluejo",2020-09-11,2018,109 min,"Drama, Family, Fantasy",3
Movie,D2: The Mighty Ducks,Sam Weisman,"Emilio Estevez, Michael Tucker, Jan Rubeš, Kathryn Erbe, Joshua Jackson, Elden Ratliff",2020-09-04,1994,107 min,"Comedy, Drama, Family",3
Movie,D3: The Mighty Ducks,Robert Lieberman,"Emilio Estevez, Jeffrey Nordling, David Selby, Heidi Kling, Joshua Jackson, Elden Ratliff",2020-09-04,1996,104 min,"Comedy, Coming of Age, Drama",3
TV Show,Earth to Ned,,,2020-09-04,2020,1 Season,"Comedy, Parody, Science Fiction",3
Movie,Trick or Treat,Jack Hannah,,2020-09-04,1952,9 min,"Animation, Family, Fantasy",3
Movie,Alice Through the Looking Glass,James Bobin,"Johnny Depp, Anne Hathaway, Mia Wasikowska, Matt Lucas, Rhys Ifans, Helena Carter",2020-08-28,2016,115 min,"Action-Adventure, Fantasy",2
Movie,Phineas and Ferb The Movie: Candace Against the Universe,,"Ashley Tisdale, Vincent Martella, Ali Wong, Dan Povenmire, Alyson Stoner, Maulik Pancholy",2020-08-28,2020,86 min,"Action-Adventure, Animation, Comedy",3
Movie,Back to the Titanic,,,2020-08-21,2020,44 min,"Documentary, Historical",2
Movie,Beauty and the Beast,Bill Condon,"Emma Watson, Dan Stevens, Luke Evans, Kevin Kline, Josh Gad, Ewan McGregor",2020-08-21,2017,138 min,"Family, Fantasy, Musical",3
Movie,Mars: One Day on the Red Planet,Martin Johnson,Nigel Barber,2020-08-21,2020,88 min,Documentary,1
Movie,The One and Only Ivan,Thea Sharrock,"Sam Rockwell, Angelina Jolie, Danny DeVito, Helen Mirren, Brooklynn Prince, Ramón Rodríguez",2020-08-21,2020,95 min,"Drama, Family, Fantasy",3
TV Show,"Weirdest, Bestest, Truest",,"Charlie Engelman, Kirby Engelman",2020-08-21,2018,1 Season,"Animals & Nature, Kids, Variety",3
TV Show,Disney Junior T.O.T.S.: Calling All T.O.T.S. (Shorts),,"Jet Jurgensmeyer, Christian Simon, Megan Hilty",2020-08-14,2020,1 Season,"Animation, Kids, Music",3
Movie,Disney Zombies 2,Paul Hoen,"Milo Manheim, Meg Donnelly, Trevor Tordjman, Kylee Russell, Carla Jeffery, Chandler Kinney",2020-08-14,2020,84 min,"Coming of Age, Fantasy, Musical",3
Movie,India's Wild Leopards,,"Sandesh Kadur, Priya Singh",2020-08-14,2020,45 min,"Animals & Nature, Documentary",2
TV Show,Jungle Animal Rescue,,Dan Nachtrab,2020-08-14,2019,1 Season,"Animals & Nature, Docuseries, Family",3
Movie,Magic Camp,Mark Waters,"Adam DeVine, Gillian Jacobs, Nathaniel McIntyre, Jeffrey Tambor, Cole Sand, Isabella Crovetti",2020-08-14,2020,101 min,"Comedy, Family",2
Movie,Marvel Studios' Ant-Man and the Wasp,Peyton Reed,"Paul Rudd, Evangeline Lilly, Michael Peña, Walton Goggins, Hannah John-Kamen, David Dastmalchian",2020-08-14,2018,120 min,"Action-Adventure, Comedy, Science Fiction",3
TV Show,Nature Boom Time,,"Charlie Engelman, Kirby Engelman, Patrick Rahill",2020-08-14,2016,1 Season,"Animals & Nature, Docuseries, Kids",3
TV Show,Sam's Zookeeper Challenge,,Sam Peltz,2020-08-14,2018,1 Season,"Animals & Nature, Docuseries, Family",3
TV Show,Scuba Sam's World,,Sam Peltz,2020-08-14,2018,1 Season,"Animals & Nature, Docuseries, Kids",3
TV Show,Spaced Out,,Ben DeTour,2020-08-14,2018,1 Season,"Docuseries, Kids",2
Movie,The Greatest Showman,Michael Gracey,"Hugh Jackman, Zac Efron, Michelle Williams, Rebecca Ferguson, Zendaya , Keala Settle",2020-08-14,2017,106 min,"Biographical, Drama, Family",3
TV Show,Weird But True!,,"Charlie Engelman, Kirby Engelman",2020-08-14,2017,3 Seasons,"Animals & Nature, Kids, Variety",3
TV Show,Wild Cats of India,,James Murray,2020-08-14,2020,1 Season,"Animals & Nature, Docuseries, Family",3
Movie,Howard,Don Hahn,Howard Ashman,2020-08-07,2020,95 min,"Biographical, Documentary, Music",3
Movie,Prince of Persia: The Sands of Time,Mike Newell,"Jake Gyllenhaal, Ben Kingsley, Gemma Arterton, Alfred Molina, Richard Coyle, Toby Kebbell",2020-08-07,2010,117 min,"Action-Adventure, Fantasy",2
Movie,Star Wars: Galaxy's Edge-Adventure Awaits,,"Neil Harris, Kaley Cuoco, Oscar Isaac, Sarah Hyland, Keegan-Michael Key, Jay Leno",2020-08-07,2019,81 min,"Documentary, Family",2
Movie,The Hidden Kingdoms of China,"Ben Wallis, Emma Fraser, Jess Tombs",Michelle Yeoh,2020-08-07,2020,88 min,"Animals & Nature, Documentary, Family",3
Movie,The Peanuts Movie,Steve Martino,"Noah Schnapp, Alex Garfin, Hadley Miller, Mariel Sheets, Venus Schultheis, Noah Johnston",2020-08-07,2015,89 min,"Animation, Comedy, Family",3
TV Show,UFO Europe: The Untold Stories,,Robert Ashby,2020-08-07,2012,1 Season,"Docuseries, Reality",2
TV Show,Animal Showdown,,Brian Peck,2020-07-31,2018,1 Season,"Animals & Nature, Docuseries, Family",3
TV Show,Best Job Ever,,,2020-07-31,2018,1 Season,"Animals & Nature, Docuseries, Family",3
Movie,Big Cat Games,Jeremy Turner,Boone Smith,2020-07-31,2015,44 min,"Animals & Nature, Family, Reality",3
Movie,Black Is King,Beyoncé Knowles-Carter,Beyoncé Knowles-Carter,2020-07-31,2020,86 min,"Dance, Music, Musical",3
Movie,Cradle of the Gods,Tim Conrad,Tim Conrad,2020-07-31,2012,45 min,"Documentary, Historical",2
TV Show,Destination World,,Rick Robles,2020-07-31,2018,1 Season,"Animals & Nature, Docuseries, Kids",3
TV Show,Fearless Adventures with Jack Randall,,Jack Randall,2020-07-31,2018,1 Season,"Animals & Nature, Docuseries, Family",3
Movie,Hunt for the Abominable Snowman,Dan Oliver,Stephen Rashbrook,2020-07-31,2011,45 min,Documentary,1
Movie,Incredibles 2,Brad Bird,"Craig Nelson, Holly Hunter, Sarah Vowell, Huckleberry Milner, Catherine Keener, Eli Fucile",2020-07-31,2018,118 min,"Action-Adventure, Animation, Family",3
TV Show,King Fishers,,Stephen Mangan,2020-07-31,2013,1 Season,"Action-Adventure, Animals & Nature, Docuseries",3
Movie,Lost Temple of the Inca,Jim Aikman,Dan Nachtrab,2020-07-31,2020,44 min,Documentary,1
TV Show,Marvel Funko Shorts,,,2020-07-31,2016,2 Seasons,"Action-Adventure, Animation, Anthology",3
TV Show,Muppets Now,,"Dave Goelz, Matt Vogel, David Rudman, Peter Linz, Bill Barretta, Eric Jacobson",2020-07-31,2020,1 Season,"Comedy, Family, Lifestyle",3
Movie,Surviving the Mount St. Helens Disaster,Sophie Harris,Bill Ratner,2020-07-31,2020,44 min,"Animals & Nature, Documentary",2
TV Show,What Sam Sees,,Sam Peltz,2020-07-31,2018,1 Season,"Animals & Nature, Docuseries, Family",3
Movie,Pirates of the Caribbean: Dead Men Tell No Tales,"Joachim Rønning, Espen Sandberg","Johnny Depp, Javier Bardem, Brenton Thwaites, Kaya Scodelario, Kevin McNally, Golshifteh Farahani",2020-07-24,2017,129 min,"Action-Adventure, Fantasy",2
TV Show,PJ Masks (Shorts),,,2020-07-24,2017,1 Season,"Action-Adventure, Animation, Kids",3
TV Show,Rogue Trip,,"Bob Woodruff, Mack Woodruff",2020-07-24,2020,1 Season,"Buddy, Docuseries",2
TV Show,Wild Congo,,Corey Johnson,2020-07-24,2014,1 Season,"Animals & Nature, Docuseries, Family",3
TV Show,Wild Sri Lanka,,Paul McGann,2020-07-24,2016,1 Season,"Animals & Nature, Docuseries",2
Movie,A Pre-Opening Report from Disneyland,Wilfred Jackson,"Walt Disney, Winston Hibler",2020-07-17,1955,55 min,"Documentary, Family, Historical",3
Movie,Diary of a Wimpy Kid: The Long Haul,David Bowers,"Jason Drucker, Alicia Silverstone, Tom Scott, Charlie Wright, Owen Asztalos, Dylan Walters",2020-07-17,2017,92 min,"Comedy, Family",2
TV Show,Disney Junior Music Lullabies,,,2020-07-17,2018,1 Season,"Animation, Kids, Music",3
Movie,Lost City of Machu Picchu,,Craig Sechler,2020-07-17,2019,44 min,"Documentary, Family",2
TV Show,Super Robot Monkey Team Hyperforce Go!,,"Greg Cipes, Kevin Michael	Richardson, Tom Kenny, Kari Wahlgren, Clancy Brown, Corey Feldman",2020-07-17,2004,2 Seasons,"Action-Adventure, Animation, Anime",3
Movie,The Mouseketeers at Walt Disney World,John Tracy,"Jo Worley, Ronnie Schell, Dennis Underwood, Leslie Norris, Billy Attmore, Scott Craig",2020-07-17,1977,56 min,"Coming of Age, Drama, Family",3
TV Show,Wild Chile,,Peter Venn,2020-07-17,2017,1 Season,"Animals & Nature, Docuseries, Family",3
Movie,X-Men: Apocalypse,Bryan Singer,"James McAvoy, Michael Fassbender, Jennifer Lawrence, Oscar Isaac, Nicholas Hoult, Rose Byrne",2020-07-17,2016,144 min,"Action-Adventure, Family, Science Fiction",3
TV Show,Cosmos: A Spacetime Odyssey,,"Neil Tyson, Stoney Emshwiller",2020-07-10,2013,1 Season,"Action-Adventure, Docuseries, Family",3
Movie,Hamilton: History Has Its Eyes on You,,"Lin-Manuel Miranda, Thomas Kail, Christopher Jackson, Leslie Odom Jr., Phillipa Soo, Renee Goldsberry",2020-07-10,2020,47 min,"Historical, Musical",2
Movie,Solo: A Star Wars Story,Ron Howard,"Alden Ehrenreich, Woody Harrelson, Emilia Clarke, Donald Glover, Thandie Newton, Phoebe Waller-Bridge",2020-07-10,2018,135 min,"Action-Adventure, Crime, Science Fiction",3
Movie,X-Men: Days of Future Past,Bryan Singer,"Hugh Jackman, James McAvoy, Michael Fassbender, Jennifer Lawrence, Halle Berry, Nicholas Hoult",2020-07-10,2014,132 min,"Action-Adventure, Family, Science Fiction",3
Movie,The Undefeated Presents: Hamilton In-Depth,,"Lin-Manuel Miranda, Thomas Kail, Renee Goldsberry, Leslie Odom Jr., Daveed Diggs, Phillipa Soo",2020-07-05,2020,33 min,"Historical, Musical",2
TV Show,Animal ER,,Dr. Brian Beale,2020-07-03,2016,2 Seasons,"Animals & Nature, Docuseries, Family",3
Movie,Diary of a Wimpy Kid: Rodrick Rules,David Bowers,"Zachary Gordon, Devon Bostick, Rachael Harris, Robert Capron, Steve Zahn",2020-07-03,2011,100 min,"Comedy, Family",2
Movie,Hamilton,Thomas Kail,"Daveed Diggs, Renée Goldsberry, Jonathan Groff, Christopher Jackson, Jasmine Jones, Lin-Manuel Miranda",2020-07-03,2020,160 min,"Biographical, Historical, Musical",3
Movie,Ice Age: Collision Course,Mike Thurmeier,"Ray Romano, John Leguizamo, Denis Leary, Adam Devine, Jesse Ferguson, Max Greenfield",2020-07-03,2016,97 min,"Action-Adventure, Animation, Comedy",3
Movie,Race to Witch Mountain,Andy Fickman,"Dwayne Johnson, AnnaSophia Robb, Carla Gugino, Ciarán Hinds, Alexander Ludwig, Tom Scott",2020-07-03,2009,100 min,"Action-Adventure, Family, Science Fiction",3
