type,title,director,cast,date_added,release_year,duration,listed_in,listed_in_count
Movie,Peeples,,,2021-10-01,2013,95 min,"Comedy, Romance",2
Movie,Queen of the Damned,,,2021-10-01,2002,101 min,Horror,1
Movie,Racing With the Moon,,,2021-10-01,1984,108 min,"Comedy, Drama, Romance",3
Movie,Remo Williams: The Adventure Begins,,,2021-10-01,1985,121 min,"Action, Adventure",2
Movie,Resident Evil: Retribution,,,2021-10-01,2012,96 min,"Action, Adventure, Horror",3
Movie,Rushmore,,,2021-10-01,1998,93 min,"Comedy, Teen",2
Movie,SCB: Calzaghe vs. Lacy,,,2021-10-01,2006,,Sports,1
Movie,Signs,,,2021-10-01,2002,107 min,"Horror, Science Fiction, Thriller",3
Movie,Sleepless in Seattle,,,2021-10-01,1993,105 min,"Comedy, Romance",2
Movie,Snatch,,,2021-10-01,2000,103 min,"Action, Adventure, Comedy",3
Movie,Species,,,2021-10-01,1995,109 min,"Horror, Science Fiction, Thriller",3
Movie,Species II,,,2021-10-01,1998,93 min,"Action, Adventure, Horror",3
Movie,Species III,,,2021-10-01,2004,112 min,"Action, Adventure, Drama",3
Movie,Species: The Awakening,,,2021-10-01,2007,98 min,"Science Fiction, Thriller",2
Movie,Star Trek II: The Wrath of Khan,,,2021-10-01,1982,113 min,"Action, Adventure, Classics",3
Movie,Star Trek III: The Search for Spock,,,2021-10-01,1984,105 min,"Action, Adventure, Family",3
Movie,Star Trek IV: The Voyage Home,,,2021-10-01,1986,119 min,"Action, Adventure, Family",3
Movie,Star Trek V: The Final Frontier,,,2021-10-01,1989,106 min,"Action, Adventure, Family",3
Movie,Star Trek VI: The Undiscovered Country,,,2021-10-01,1991,110 min,"Action, Adventure, Family",3
Movie,Star Trek VIII: First Contact,,,2021-10-01,1996,111 min,"Action, Adventure, Family",3
Movie,Star Trek: Generations,,,2021-10-01,1994,118 min,"Action, Adventure, Family",3
Movie,Star Trek: Insurrection,,,2021-10-01,1998,103 min,"Action, Adventure, Family",3
Movie,Star Trek: Nemesis,,,2021-10-01,2002,117 min,"Action, Adventure, Science Fiction",3
Movie,Star Trek: The Motion Picture,,,2021-10-01,1979,130 min,"Action, Adventure, Family",3
TV Show,Station 19,,,2021-10-01,2018,5 Seasons,"Action, Drama",2
Movie,Sweet Home Alabama,,,2021-10-01,2002,104 min,"Comedy, Romance",2
Movie,Sweet Land,,,2021-10-01,2005,111 min,"Drama, Romance",2
Movie,The Extreme Adventures of Super Dave,,,2021-10-01,2000,91 min,Comedy,1
Movie,The Holiday,,,2021-10-01,2006,136 min,"Comedy, Drama, Romance",3
Movie,The Hunger Games,,,2021-10-01,2012,181 min,"Action, Adventure, Science Fiction",3
